Time,E0,E1,E2
0.00,418,454,602
0.01,450,441,599
0.02,436,436,596
0.03,435,443,580
0.07,427,433,595
0.10,441,437,604
0.13,428,436,596
0.16,449,434,599
0.19,428,438,598
0.22,451,434,599
0.25,428,440,600
0.28,405,434,599
0.32,430,444,602
0.35,444,434,597
0.38,431,455,607
0.41,435,433,595
0.44,436,443,614
0.47,431,436,597
0.50,444,443,607
0.53,432,442,600
0.57,455,437,600
0.60,434,450,605
0.63,441,435,598
0.66,438,432,621
0.69,434,436,600
0.72,449,438,607
0.75,433,441,602
0.78,439,435,599
0.81,436,457,610
0.85,436,436,600
0.88,442,446,609
0.91,433,439,602
0.94,456,437,602
0.97,435,449,605
1.00,442,435,599
1.03,439,418,618
1.06,436,437,600
1.10,449,440,607
1.13,435,441,603
1.16,422,435,601
1.19,436,453,608
1.22,442,435,600
1.25,441,432,613
1.28,437,436,600
1.31,450,440,607
1.35,436,440,607
1.38,413,436,604
1.41,437,452,609
1.44,443,435,602
1.47,442,426,619
1.50,438,436,604
1.53,450,440,617
1.56,436,440,605
1.60,436,436,606
1.63,437,448,608
1.66,446,434,602
1.69,439,457,620
1.72,439,435,604
1.75,443,450,595
1.78,437,437,603
1.81,451,440,610
1.85,437,440,605
1.88,462,436,605
1.91,437,447,608
1.94,446,435,603
1.97,441,424,624
2.00,437,436,604
2.03,453,438,607
2.06,436,442,605
2.10,440,435,604
2.13,441,459,615
2.16,442,437,604
2.19,448,446,617
2.22,440,441,608
2.25,433,438,606
2.28,441,455,614
2.31,444,437,606
2.34,446,451,605
2.38,440,440,608
2.41,462,440,610
2.44,440,447,613
2.47,452,437,605
2.50,443,462,623
2.53,442,439,606
2.56,451,445,617
2.59,440,443,609
2.63,456,435,603
2.66,435,445,608
2.69,444,432,602
2.72,438,458,614
2.75,440,433,601
2.78,445,417,623
2.81,443,438,605
2.84,447,454,619
2.87,442,438,605
2.91,451,446,613
2.94,441,441,607
2.97,460,441,611
3.00,441,444,608
3.03,444,438,607
3.06,442,452,611
3.09,449,438,605
3.12,445,436,626
3.16,443,440,606
3.19,457,441,610
3.22,442,447,610
3.25,455,438,606
3.28,446,423,626
3.31,444,441,607
3.34,464,441,608
3.37,444,454,614
3.40,448,439,607
3.44,452,446,615
3.47,444,446,610
3.50,457,439,607
3.53,449,454,594
3.56,443,444,609
3.59,428,439,607
3.62,446,446,625
3.65,445,442,608
3.69,468,441,610
3.72,445,460,618
3.75,447,440,607
3.78,457,443,612
3.81,443,449,612
3.84,452,439,608
