,time,A0,A1,A2
0,0.00,707,747,82
1,0.01,707,747,82
2,0.02,708,739,82
3,0.03,708,739,80
4,0.06,707,737,78
5,0.09,708,741,80
6,0.12,717,736,68
7,0.15,708,741,81
8,0.18,706,732,77
9,0.21,705,741,81
10,0.24,709,741,80
11,0.27,701,740,82
12,0.30,709,739,80
13,0.33,711,736,84
14,0.36,707,741,80
15,0.39,708,732,78
16,0.42,702,740,82
17,0.45,709,739,80
18,0.49,714,736,74
19,0.51,707,741,80
20,0.54,708,732,79
21,0.57,701,740,82
22,0.61,709,739,80
23,0.63,715,736,80
24,0.67,707,741,80
25,0.70,708,734,78
26,0.73,702,740,82
27,0.76,709,739,80
28,0.79,709,736,72
29,0.82,707,741,80
30,0.85,708,733,78
31,0.88,702,740,81
32,0.91,709,738,79
33,0.94,707,737,68
34,0.97,707,741,80
35,1.00,707,731,78
36,1.03,704,740,81
37,1.06,709,728,79
38,1.09,703,738,78
39,1.12,708,741,79
40,1.15,705,732,76
41,1.18,705,741,80
42,1.21,709,749,79
43,1.24,699,739,81
44,1.27,708,740,79
45,1.30,698,734,77
46,1.33,706,741,80
47,1.36,709,743,78
48,1.39,700,739,81
49,1.42,708,740,79
50,1.45,696,735,77
51,1.48,706,741,79
52,1.51,709,743,78
53,1.54,700,739,80
54,1.57,708,741,79
55,1.60,704,733,76
56,1.63,705,741,80
57,1.66,709,728,79
58,1.69,708,736,66
59,1.72,707,741,79
60,1.75,709,743,78
61,1.78,701,738,72
62,1.81,707,741,79
63,1.84,709,747,79
64,1.87,705,736,72
65,1.90,706,741,80
66,1.93,709,730,79
67,1.96,715,735,79
68,1.99,705,740,80
69,2.02,709,739,79
70,2.05,704,732,76
71,2.08,702,740,81
72,2.11,708,740,79
73,2.14,707,731,77
74,2.17,702,740,81
75,2.20,708,741,79
76,2.23,707,731,77
77,2.26,702,740,81
78,2.29,709,740,79
79,2.32,704,732,76
80,2.36,704,740,79
81,2.38,709,736,79
82,2.42,711,736,80
83,2.45,706,741,79
84,2.48,708,737,78
85,2.51,700,739,80
86,2.54,708,741,79
87,2.57,706,732,76
88,2.60,704,740,79
89,2.63,709,739,78
90,2.66,715,735,87
91,2.69,705,741,79
92,2.72,709,731,78
93,2.75,701,737,72
94,2.78,707,741,79
95,2.81,708,735,78
96,2.84,700,739,81
97,2.87,708,740,79
98,2.90,705,732,76
99,2.93,704,740,79
100,2.96,709,736,78
101,2.99,703,737,68
102,3.02,707,741,79
103,3.05,708,733,77
104,3.08,702,740,79
105,3.11,709,739,78
106,3.14,711,736,90
107,3.17,706,741,79
108,3.20,708,737,77
109,3.23,700,739,79
110,3.26,708,740,78
111,3.29,705,732,76
112,3.32,704,741,79
113,3.35,709,729,78
114,3.38,704,737,72
115,3.41,707,741,79
116,3.44,708,731,77
117,3.47,702,740,79
118,3.50,708,739,78
119,3.53,715,734,87
120,3.56,706,741,79
121,3.59,709,743,77
122,3.62,700,739,79
123,3.65,708,740,78
124,3.68,698,734,76
125,3.71,706,741,79
126,3.74,709,742,77
127,3.77,700,740,79
128,3.80,709,739,78
129,3.83,713,736,80
130,3.86,707,741,78
131,3.89,707,731,76
132,3.92,704,741,79
133,3.95,709,747,77
134,3.98,700,739,79
135,4.01,708,740,78
136,4.04,713,736,64
137,4.07,707,741,78
138,4.10,707,732,76
139,4.13,705,741,79
140,4.16,709,742,77
141,4.19,701,740,79
142,4.23,709,734,78
143,4.25,701,738,76
144,4.28,708,741,78
145,4.32,696,734,87
146,4.34,706,741,79
147,4.38,708,732,76
148,4.41,702,740,79
149,4.44,708,739,78
150,4.47,710,736,64
151,4.50,707,741,78
152,4.53,708,733,76
153,4.56,702,740,79
154,4.59,708,739,78
155,4.62,703,737,68
156,4.65,707,741,78
157,4.68,707,732,76
158,4.71,705,741,79
159,4.74,708,740,77
160,4.77,701,740,79
161,4.80,709,738,78
162,4.83,703,738,76
163,4.86,708,741,78
164,4.89,698,734,87
165,4.92,706,741,78
166,4.95,708,732,76
167,4.98,704,741,79
168,5.01,709,743,77
169,5.04,700,739,79
170,5.07,709,739,78
171,5.10,703,737,72
172,5.13,708,741,78
173,5.16,696,735,88
174,5.19,707,741,78
175,5.22,707,731,75
176,5.25,705,741,78
177,5.28,708,735,76
178,5.31,703,740,79
179,5.34,709,731,77
180,5.37,699,739,79
181,5.40,708,739,78
182,5.43,711,736,68
183,5.46,707,741,78
184,5.49,707,731,76
185,5.52,704,741,79
186,5.55,709,747,77
187,5.58,700,739,79
188,5.61,708,740,77
189,5.64,715,736,72
190,5.67,707,741,78
191,5.70,707,732,76
192,5.73,704,740,79
