,time,A0,A1,A2
0,0.00,704,735,115
1,0.01,700,733,116
2,0.02,695,728,116
3,0.03,692,726,115
4,0.07,702,735,117
5,0.10,704,724,116
6,0.13,697,732,114
7,0.16,704,735,116
8,0.19,695,725,115
9,0.22,701,734,116
10,0.25,704,733,116
11,0.28,695,730,114
12,0.32,703,735,117
13,0.35,702,734,116
14,0.38,699,733,104
15,0.41,704,735,116
16,0.44,706,727,115
17,0.47,702,735,117
18,0.50,704,732,116
19,0.53,695,731,114
20,0.57,703,735,117
21,0.60,703,739,116
22,0.63,698,733,127
23,0.66,704,735,116
24,0.69,711,727,115
25,0.72,702,735,117
26,0.75,704,732,116
27,0.78,696,731,114
28,0.81,704,735,117
29,0.85,702,729,116
30,0.88,700,733,104
31,0.91,704,734,116
32,0.94,702,728,115
33,0.97,702,735,117
34,1.00,703,727,116
35,1.03,697,732,114
36,1.06,704,735,117
37,1.10,700,727,116
38,1.13,700,733,104
39,1.16,704,735,116
40,1.19,709,726,115
41,1.22,701,734,114
42,1.25,704,734,116
43,1.28,700,728,115
44,1.31,702,735,117
45,1.35,704,733,116
46,1.38,696,729,115
47,1.41,703,735,117
48,1.44,703,729,116
49,1.47,696,730,114
50,1.50,703,735,117
51,1.53,703,734,116
52,1.56,697,732,114
53,1.60,704,735,117
54,1.63,702,734,116
55,1.66,698,733,126
56,1.69,704,735,116
57,1.72,694,727,116
58,1.75,700,734,108
59,1.78,704,734,116
60,1.81,703,727,115
61,1.85,702,734,117
62,1.88,704,733,116
63,1.91,695,730,114
64,1.94,703,735,117
65,1.97,703,735,116
66,2.00,697,732,114
67,2.03,704,735,117
68,2.06,702,735,116
69,2.10,698,732,117
70,2.13,704,735,116
71,2.16,702,735,116
72,2.19,698,733,119
73,2.22,704,735,117
74,2.25,701,733,116
75,2.28,698,733,119
76,2.31,704,735,117
77,2.34,702,737,116
78,2.38,697,732,114
79,2.41,704,735,117
80,2.44,703,725,116
81,2.47,695,729,114
82,2.50,702,735,117
83,2.53,704,733,117
84,2.56,702,727,115
85,2.59,701,734,112
86,2.63,704,735,116
87,2.66,695,727,116
88,2.69,699,733,124
89,2.72,704,735,117
90,2.75,700,731,116
91,2.78,699,733,127
92,2.81,704,735,117
93,2.84,701,731,116
94,2.87,699,733,127
95,2.91,704,735,117
96,2.94,699,730,116
97,2.97,699,733,127
98,3.00,704,735,117
99,3.03,701,732,116
100,3.06,699,732,119
101,3.09,704,735,117
102,3.12,702,735,116
103,3.16,698,732,114
104,3.19,704,735,117
105,3.22,703,743,116
106,3.25,696,731,114
107,3.28,703,735,117
108,3.31,703,723,116
109,3.34,696,731,114
110,3.37,703,735,117
111,3.40,703,722,116
112,3.44,696,731,114
113,3.47,703,735,117
