Time,F0,F1,F2,,,,,,,,,,,
0,582,510,497,,,,,,,,,,,
0.01,567,503,493,,,,,,,,,,,
0.02,566,506,505,,,,,,,,,,,
0.03,577,504,510,,,,,,,,,,,
0.07,575,504,506,,,,,,,,,,,
0.1,573,504,503,,,,,,,,,,,
0.13,571,504,501,,,,,,,,,,,
0.16,570,503,499,,,,,,,,,,,
0.19,569,503,498,,,,,,,,,,,
0.22,568,503,497,,,,,,,,,,,
0.25,567,503,496,,,,,,,,,,,
0.28,567,503,496,,,,,,,,,,,
0.32,566,503,495,,,,,,,,,,,
0.35,567,504,495,,,,,,,,,,,
0.38,567,504,496,,,,,,,,,,,
0.41,567,504,495,,Average:,584.7766243,,,,,,,Average:,536.9577591
0.44,567,505,495,,,,,,,,,,,
0.47,567,505,495,,,,,,,,,,,
0.5,567,506,495,,,,,,,,,,,
0.53,567,506,495,,,,,,,,,,,
0.57,567,506,495,,,,,,,,,,,
0.6,567,506,495,,,,,,,,,,,
0.63,567,506,495,,,,,,,,,,,
0.66,567,506,496,,,,,,,,,,,
0.69,566,506,496,,,,,,,,,,,
0.72,567,505,496,,,,,,,,,,,
0.75,567,505,496,,,,,,,,,,,
0.78,567,505,496,,,,,,,,,,,
0.81,567,505,496,,,,,,,,,,,
0.85,567,505,496,,,,,,,,,,,
0.88,567,504,496,,,,,,,,,,,
0.91,567,504,496,,,,,,,,,,,
0.94,567,505,497,,,,,,Average:,516.2546984,,,,
0.97,567,505,497,,,,,,,,,,,
1,567,505,496,,,,,,,,,,,
1.03,567,505,496,,,,,,,,,,,
1.06,567,506,496,,,,,,,,,,,
1.1,567,507,496,,,,,,,,,,,
1.13,567,508,497,,,,,,,,,,,
1.16,568,509,497,,,,,,,,,,,
1.19,568,510,498,,,,,,,,,,,
1.22,569,512,498,,,,,,,,,,,
1.25,569,514,499,,,,,,,,,,,
1.28,570,515,499,,,,,,,,,,,
1.31,570,517,500,,,,,,,,,,,
1.35,570,517,500,,,,,,,,,,,
1.38,571,519,500,,,,,,,,,,,
1.41,571,519,500,,,,,,,,,,,
1.44,571,521,501,,,,,,,,,,,
1.47,572,522,501,,,,,,,,,,,
1.5,572,523,501,,,,,,,,,,,
1.53,572,522,501,,,,,,,,,,,
1.56,572,522,502,,,,,,,,,,,
1.6,572,523,502,,,,,,,,,,,
1.63,573,525,502,,,,,,,,,,,
1.66,573,527,503,,,,,,,,,,,
1.69,574,527,504,,,,,,,,,,,
1.72,575,516,505,,,,,,,,,,,
1.75,577,484,507,,,,,,,,,,,
1.78,579,508,509,,,,,,,,,,,
1.81,581,520,511,,,,,,,,,,,
1.85,584,517,514,,,,,,,,,,,
1.88,585,515,516,,,,,,,,,,,
1.91,588,513,518,,,,,,,,,,,
1.94,590,512,520,,,,,,,,,,,
1.97,591,511,521,,,,,,,,,,,
2,591,510,521,,,,,,,,,,,
2.03,591,510,520,,,,,,,,,,,
2.06,589,509,517,,,,,,,,,,,
2.1,588,509,514,,,,,,,,,,,
2.13,581,509,509,,,,,,,,,,,
2.16,576,509,508,,,,,,,,,,,
2.19,572,509,510,,,,,,,,,,,
2.22,578,509,509,,,,,,,,,,,
2.25,568,509,501,,,,,,,,,,,
2.28,551,508,487,,,,,,,,,,,
2.31,553,508,483,,,,,,,,,,,
2.34,565,508,502,,,,,,,,,,,
2.38,581,507,516,,,,,,,,,,,
2.41,580,506,513,,,,,,,,,,,
2.44,576,506,510,,,,,,,,,,,
2.47,575,505,507,,,,,,,,,,,
2.5,573,505,505,,,,,,,,,,,
2.53,572,505,504,,,,,,,,,,,
2.56,571,505,503,,,,,,,,,,,
2.59,570,505,502,,,,,,,,,,,
2.63,570,505,501,,,,,,,,,,,
2.66,570,506,501,,,,,,,,,,,
2.69,570,506,501,,,,,,,,,,,
2.72,569,506,501,,,,,,,,,,,
2.75,569,506,501,,,,,,,,,,,
2.78,569,507,501,,,,,,,,,,,
2.81,569,507,500,,,,,,,,,,,
2.84,569,507,501,,,,,,,,,,,
2.87,569,508,501,,,,,,,,,,,
2.91,569,508,501,,,,,,,,,,,
2.94,569,508,501,,,,,,,,,,,
2.97,569,507,501,,,,,,,,,,,
3,569,507,501,,,,,,,,,,,
3.03,570,507,501,,,,,,,,,,,
3.06,570,507,501,,,,,,,,,,,
3.09,570,506,502,,,,,,,,,,,
3.12,570,506,502,,,,,,,,,,,
3.16,571,506,503,,,,,,,,,,,
3.19,571,506,504,,,,,,,,,,,
3.22,572,506,507,,,,,,,,,,,
3.25,574,506,510,,,,,,,,,,,
3.28,578,507,517,,,,,,,,,,,
3.31,582,508,495,,,,,,,,,,,
3.34,559,510,520,,,,,,,,,,,
3.37,593,514,523,,,,,,,,,,,
3.4,588,519,517,,,,,,,,,,,
3.44,583,515,512,,,,,,,,,,,
3.47,579,509,509,,,,,,,,,,,
3.5,576,530,508,,,,,,,,,,,
3.53,575,529,507,,,,,,,,,,,
3.56,575,527,507,,,,,,,,,,,
3.59,575,527,508,,,,,,,,,,,
3.62,575,527,507,,,,,,,,,,,
3.65,575,526,508,,,,,,,,,,,
3.69,575,527,508,,,,,,,,,,,
3.72,575,527,508,,,,,,,,,,,
3.75,575,527,508,,,,,,,,,,,
3.78,576,527,508,,,,,,,,,,,
3.81,576,527,508,,,,,,,,,,,
3.84,575,527,508,,,,,,,,,,,
3.87,576,526,508,,,,,,,,,,,
3.9,576,526,508,,,,,,,,,,,
3.94,575,526,508,,,,,,,,,,,
3.97,575,525,508,,,,,,,,,,,
4,575,525,508,,,,,,,,,,,
4.03,575,524,508,,,,,,,,,,,
4.06,575,523,508,,,,,,,,,,,
4.09,575,522,507,,,,,,,,,,,
4.12,574,521,507,,,,,,,,,,,
4.15,574,520,507,,,,,,,,,,,
4.19,574,518,507,,,,,,,,,,,
4.22,574,517,507,,,,,,,,,,,
4.25,574,517,507,,,,,,,,,,,
4.28,573,516,507,,,,,,,,,,,
4.31,573,516,507,,,,,,,,,,,
4.34,573,515,507,,,,,,,,,,,
4.37,573,515,507,,,,,,,,,,,
4.4,573,515,507,,,,,,,,,,,
4.43,573,515,507,,,,,,,,,,,
4.47,573,515,507,,,,,,,,,,,
4.5,573,515,507,,,,,,,,,,,
4.53,573,516,508,,,,,,,,,,,
4.56,575,518,509,,,,,,,,,,,
