0.00	 B0:143	 B1:289	 B2:105
0.00	 C0:55	 C1:133	 C2:405
0.00	 D0:42	 D1:341	 D2:143
0.00	 A0:44	 A1:356	 A2:102

0.01	 B0:143	 B1:289	 B2:105
0.01	 C0:55	 C1:133	 C2:405
0.01	 D0:42	 D1:341	 D2:143
0.01	 A0:44	 A1:356	 A2:102

0.02	 B0:143	 B1:289	 B2:105
0.02	 C0:56	 C1:133	 C2:405
0.02	 D0:42	 D1:341	 D2:143
0.02	 A0:44	 A1:356	 A2:102

0.03	 B0:143	 B1:289	 B2:105
0.03	 C0:55	 C1:133	 C2:405
0.03	 D0:42	 D1:341	 D2:143
0.03	 A0:44	 A1:356	 A2:102

0.07	 B0:143	 B1:289	 B2:105
0.06	 C0:56	 C1:133	 C2:405
0.06	 D0:42	 D1:341	 D2:143
0.06	 A0:44	 A1:356	 A2:102

0.10	 B0:143	 B1:289	 B2:105
0.09	 C0:56	 C1:134	 C2:405
0.09	 D0:42	 D1:341	 D2:143
0.09	 A0:44	 A1:356	 A2:102

0.13	 B0:143	 B1:289	 B2:105
0.12	 C0:55	 C1:134	 C2:405
0.12	 D0:42	 D1:341	 D2:143
0.12	 A0:44	 A1:356	 A2:102

0.16	 B0:143	 B1:289	 B2:105
0.15	 C0:55	 C1:133	 C2:405
0.15	 D0:42	 D1:341	 D2:143
0.15	 A0:44	 A1:356	 A2:102

0.19	 B0:143	 B1:289	 B2:105
0.18	 C0:55	 C1:133	 C2:405
0.18	 D0:42	 D1:341	 D2:143
0.18	 A0:44	 A1:356	 A2:102

0.22	 B0:143	 B1:289	 B2:105
0.21	 C0:55	 C1:133	 C2:405
0.21	 D0:42	 D1:342	 D2:143
0.21	 A0:44	 A1:356	 A2:102

0.25	 B0:143	 B1:289	 B2:105
0.24	 C0:55	 C1:133	 C2:405
0.24	 D0:42	 D1:341	 D2:143
0.24	 A0:44	 A1:356	 A2:102

0.28	 B0:143	 B1:289	 B2:105
0.27	 C0:55	 C1:133	 C2:405
0.27	 D0:42	 D1:341	 D2:143
0.27	 A0:44	 A1:356	 A2:102

0.32	 B0:143	 B1:289	 B2:105
0.30	 C0:55	 C1:134	 C2:405
0.30	 D0:42	 D1:341	 D2:143
0.30	 A0:44	 A1:356	 A2:102

0.35	 B0:143	 B1:289	 B2:105
0.33	 C0:55	 C1:133	 C2:405
0.33	 D0:42	 D1:341	 D2:143
0.33	 A0:44	 A1:356	 A2:102

0.38	 B0:143	 B1:289	 B2:105
0.36	 C0:55	 C1:133	 C2:405
0.36	 D0:42	 D1:341	 D2:143
0.36	 A0:44	 A1:356	 A2:102

0.41	 B0:143	 B1:289	 B2:105
0.39	 C0:55	 C1:133	 C2:405
0.39	 D0:42	 D1:341	 D2:143
0.39	 A0:44	 A1:356	 A2:102

0.44	 B0:143	 B1:289	 B2:105
0.42	 C0:55	 C1:133	 C2:405
0.42	 D0:42	 D1:341	 D2:143
0.42	 A0:44	 A1:356	 A2:102

0.47	 B0:143	 B1:289	 B2:105
0.45	 C0:55	 C1:133	 C2:405
0.45	 D0:42	 D1:341	 D2:143
0.45	 A0:44	 A1:356	 A2:102

0.50	 B0:143	 B1:289	 B2:105
0.49	 C0:55	 C1:134	 C2:405
0.49	 D0:42	 D1:341	 D2:143
0.49	 A0:44	 A1:356	 A2:102

0.53	 B0:143	 B1:289	 B2:105
0.51	 C0:55	 C1:133	 C2:405
0.51	 D0:42	 D1:341	 D2:143
0.51	 A0:44	 A1:356	 A2:102

0.57	 B0:143	 B1:289	 B2:105
0.54	 C0:55	 C1:133	 C2:405
0.54	 D0:42	 D1:341	 D2:143
0.54	 A0:44	 A1:356	 A2:102

0.60	 B0:143	 B1:289	 B2:105
0.57	 C0:55	 C1:133	 C2:405
0.57	 D0:42	 D1:341	 D2:142
0.57	 A0:44	 A1:356	 A2:102

0.63	 B0:143	 B1:289	 B2:105
0.61	 C0:55	 C1:133	 C2:405
0.61	 D0:42	 D1:341	 D2:142
0.61	 A0:44	 A1:356	 A2:102

0.66	 B0:143	 B1:289	 B2:105
0.63	 C0:55	 C1:133	 C2:405
0.63	 D0:42	 D1:341	 D2:143
0.63	 A0:44	 A1:356	 A2:102

0.69	 B0:143	 B1:289	 B2:105
0.67	 C0:56	 C1:133	 C2:405
0.67	 D0:42	 D1:341	 D2:143
0.67	 A0:44	 A1:356	 A2:102

0.72	 B0:143	 B1:289	 B2:105
0.70	 C0:55	 C1:133	 C2:405
0.70	 D0:42	 D1:341	 D2:143
0.70	 A0:44	 A1:356	 A2:102

0.75	 B0:143	 B1:289	 B2:105
0.73	 C0:55	 C1:133	 C2:405
0.73	 D0:42	 D1:341	 D2:143
0.73	 A0:44	 A1:356	 A2:102

0.78	 B0:143	 B1:289	 B2:105
0.76	 C0:55	 C1:133	 C2:405
0.76	 D0:42	 D1:341	 D2:143
0.76	 A0:44	 A1:356	 A2:102

0.81	 B0:143	 B1:289	 B2:105
0.79	 C0:56	 C1:133	 C2:405
0.79	 D0:42	 D1:341	 D2:143
0.79	 A0:44	 A1:356	 A2:102

0.85	 B0:143	 B1:289	 B2:105
0.82	 C0:56	 C1:133	 C2:405
0.82	 D0:42	 D1:341	 D2:143
0.82	 A0:44	 A1:356	 A2:102

0.88	 B0:143	 B1:289	 B2:105
0.85	 C0:55	 C1:133	 C2:405
0.85	 D0:42	 D1:341	 D2:142
0.85	 A0:44	 A1:356	 A2:102

0.91	 B0:143	 B1:289	 B2:105
0.88	 C0:55	 C1:134	 C2:405
0.88	 D0:42	 D1:341	 D2:143
0.88	 A0:44	 A1:356	 A2:102

0.94	 B0:143	 B1:289	 B2:105
0.91	 C0:55	 C1:133	 C2:405
0.91	 D0:42	 D1:341	 D2:143
0.91	 A0:44	 A1:356	 A2:102

0.97	 B0:143	 B1:289	 B2:105
0.94	 C0:55	 C1:133	 C2:405
0.94	 D0:42	 D1:341	 D2:143
0.94	 A0:44	 A1:356	 A2:102

1.00	 B0:143	 B1:289	 B2:105
0.97	 C0:55	 C1:134	 C2:405
0.97	 D0:42	 D1:341	 D2:143
0.97	 A0:44	 A1:356	 A2:102

1.03	 B0:143	 B1:289	 B2:105
1.00	 C0:55	 C1:133	 C2:405
1.00	 D0:42	 D1:341	 D2:142
1.00	 A0:44	 A1:356	 A2:102

1.06	 B0:143	 B1:289	 B2:105
1.03	 C0:55	 C1:133	 C2:405
1.03	 D0:42	 D1:341	 D2:143
1.03	 A0:44	 A1:356	 A2:102

1.10	 B0:143	 B1:289	 B2:105
1.06	 C0:55	 C1:133	 C2:405
1.06	 D0:42	 D1:341	 D2:143
1.06	 A0:44	 A1:356	 A2:102

1.13	 B0:143	 B1:289	 B2:105
1.09	 C0:55	 C1:134	 C2:405
1.09	 D0:42	 D1:341	 D2:143
1.09	 A0:44	 A1:356	 A2:102

1.16	 B0:143	 B1:289	 B2:105
1.12	 C0:55	 C1:133	 C2:405
1.12	 D0:42	 D1:341	 D2:143
1.12	 A0:44	 A1:356	 A2:102

1.19	 B0:143	 B1:289	 B2:105
1.15	 C0:55	 C1:134	 C2:405
1.15	 D0:42	 D1:341	 D2:143
1.15	 A0:44	 A1:356	 A2:102

1.22	 B0:143	 B1:289	 B2:105
1.18	 C0:55	 C1:134	 C2:405
1.18	 D0:42	 D1:341	 D2:143
1.18	 A0:44	 A1:356	 A2:102

1.25	 B0:143	 B1:289	 B2:105
1.21	 C0:55	 C1:134	 C2:405
1.21	 D0:42	 D1:341	 D2:142
1.21	 A0:44	 A1:356	 A2:102

1.28	 B0:143	 B1:289	 B2:105
1.24	 C0:55	 C1:133	 C2:405
1.24	 D0:42	 D1:341	 D2:142
1.24	 A0:44	 A1:356	 A2:102

1.31	 B0:143	 B1:289	 B2:105
1.27	 C0:55	 C1:134	 C2:405
1.27	 D0:42	 D1:341	 D2:143
1.27	 A0:44	 A1:356	 A2:102

1.35	 B0:143	 B1:289	 B2:105
1.30	 C0:55	 C1:134	 C2:405
1.30	 D0:42	 D1:341	 D2:142
1.30	 A0:44	 A1:356	 A2:102

1.38	 B0:143	 B1:289	 B2:105
1.33	 C0:55	 C1:134	 C2:405
1.33	 D0:42	 D1:341	 D2:143
1.33	 A0:44	 A1:356	 A2:102

1.41	 B0:143	 B1:289	 B2:105
1.36	 C0:55	 C1:134	 C2:405
1.36	 D0:42	 D1:341	 D2:142
1.36	 A0:44	 A1:356	 A2:102

1.44	 B0:143	 B1:289	 B2:105
1.39	 C0:55	 C1:134	 C2:405
1.39	 D0:42	 D1:341	 D2:142
1.39	 A0:44	 A1:356	 A2:102

1.47	 B0:143	 B1:289	 B2:105
1.42	 C0:55	 C1:134	 C2:405
1.42	 D0:42	 D1:341	 D2:142
1.42	 A0:44	 A1:356	 A2:102

1.50	 B0:143	 B1:289	 B2:105
1.45	 C0:55	 C1:134	 C2:405
1.45	 D0:42	 D1:341	 D2:142
1.45	 A0:44	 A1:356	 A2:102

1.53	 B0:143	 B1:289	 B2:105
1.48	 C0:55	 C1:134	 C2:405
1.48	 D0:42	 D1:341	 D2:142
1.48	 A0:44	 A1:356	 A2:102

1.56	 B0:143	 B1:289	 B2:105
1.51	 C0:55	 C1:134	 C2:405
1.51	 D0:42	 D1:341	 D2:142
1.51	 A0:44	 A1:356	 A2:102

1.60	 B0:143	 B1:289	 B2:105
1.54	 C0:55	 C1:133	 C2:405
1.54	 D0:42	 D1:341	 D2:143
1.54	 A0:44	 A1:356	 A2:102

1.63	 B0:143	 B1:289	 B2:105
