0.00	 B0:161	 B1:324	 B2:115
0.00	 C0:70	 C1:155	 C2:479
0.00	 D0:50	 D1:414	 D2:133
0.00	 A0:50	 A1:379	 A2:110

0.01	 B0:161	 B1:323	 B2:115
0.01	 C0:70	 C1:155	 C2:479
0.01	 D0:50	 D1:414	 D2:134
0.01	 A0:50	 A1:380	 A2:110

0.02	 B0:161	 B1:323	 B2:115
0.02	 C0:71	 C1:155	 C2:479
0.02	 D0:51	 D1:415	 D2:133
0.02	 A0:50	 A1:380	 A2:110

0.03	 B0:161	 B1:324	 B2:115
0.03	 C0:70	 C1:155	 C2:479
0.03	 D0:50	 D1:414	 D2:134
0.03	 A0:50	 A1:380	 A2:110

0.07	 B0:161	 B1:324	 B2:115
0.06	 C0:70	 C1:155	 C2:479
0.06	 D0:50	 D1:415	 D2:134
0.06	 A0:50	 A1:380	 A2:110

0.10	 B0:161	 B1:323	 B2:115
0.09	 C0:70	 C1:155	 C2:479
0.09	 D0:50	 D1:414	 D2:133
0.09	 A0:50	 A1:380	 A2:110

0.13	 B0:161	 B1:324	 B2:114
0.12	 C0:70	 C1:155	 C2:479
0.12	 D0:50	 D1:414	 D2:134
0.12	 A0:50	 A1:380	 A2:110

0.16	 B0:161	 B1:323	 B2:115
0.15	 C0:70	 C1:155	 C2:479
0.15	 D0:51	 D1:414	 D2:133
0.15	 A0:50	 A1:380	 A2:110

0.19	 B0:161	 B1:324	 B2:115
0.18	 C0:70	 C1:155	 C2:479
0.18	 D0:50	 D1:414	 D2:134
0.18	 A0:50	 A1:380	 A2:110

0.22	 B0:161	 B1:324	 B2:114
0.21	 C0:70	 C1:155	 C2:479
0.21	 D0:50	 D1:414	 D2:134
0.21	 A0:50	 A1:380	 A2:110

0.25	 B0:161	 B1:324	 B2:115
0.24	 C0:70	 C1:154	 C2:479
0.24	 D0:50	 D1:414	 D2:134
0.24	 A0:50	 A1:380	 A2:110

0.28	 B0:161	 B1:324	 B2:115
0.27	 C0:70	 C1:155	 C2:479
0.27	 D0:50	 D1:414	 D2:134
0.27	 A0:50	 A1:380	 A2:110

0.32	 B0:161	 B1:324	 B2:115
0.30	 C0:70	 C1:155	 C2:479
0.30	 D0:50	 D1:414	 D2:134
0.30	 A0:50	 A1:380	 A2:110

0.35	 B0:161	 B1:324	 B2:115
0.33	 C0:70	 C1:154	 C2:479
0.33	 D0:50	 D1:415	 D2:134
0.33	 A0:50	 A1:380	 A2:110

0.38	 B0:161	 B1:324	 B2:114
0.36	 C0:70	 C1:154	 C2:479
0.36	 D0:50	 D1:414	 D2:134
0.36	 A0:50	 A1:380	 A2:110

0.41	 B0:161	 B1:324	 B2:115
0.39	 C0:70	 C1:155	 C2:479
0.39	 D0:50	 D1:415	 D2:134
0.39	 A0:51	 A1:380	 A2:110

0.44	 B0:161	 B1:324	 B2:115
0.42	 C0:70	 C1:155	 C2:479
0.42	 D0:50	 D1:414	 D2:133
0.42	 A0:50	 A1:380	 A2:110

0.47	 B0:161	 B1:324	 B2:115
0.45	 C0:70	 C1:154	 C2:479
0.45	 D0:50	 D1:414	 D2:134
0.45	 A0:50	 A1:380	 A2:110

0.50	 B0:161	 B1:324	 B2:114
0.49	 C0:70	 C1:155	 C2:479
0.49	 D0:50	 D1:414	 D2:134
0.49	 A0:50	 A1:380	 A2:110

0.53	 B0:161	 B1:324	 B2:115
0.51	 C0:70	 C1:155	 C2:479
0.51	 D0:50	 D1:414	 D2:133
0.51	 A0:50	 A1:380	 A2:110

0.57	 B0:161	 B1:324	 B2:115
0.54	 C0:70	 C1:154	 C2:479
0.54	 D0:50	 D1:415	 D2:134
0.54	 A0:50	 A1:380	 A2:110

0.60	 B0:160	 B1:324	 B2:115
0.57	 C0:70	 C1:154	 C2:479
0.57	 D0:50	 D1:414	 D2:134
0.57	 A0:50	 A1:380	 A2:110

0.63	 B0:160	 B1:324	 B2:115
0.61	 C0:70	 C1:155	 C2:479
0.61	 D0:50	 D1:415	 D2:134
0.61	 A0:50	 A1:380	 A2:110

0.66	 B0:161	 B1:324	 B2:115
0.63	 C0:70	 C1:155	 C2:479
0.63	 D0:50	 D1:414	 D2:134
0.63	 A0:50	 A1:380	 A2:110

0.69	 B0:160	 B1:324	 B2:114
0.67	 C0:70	 C1:154	 C2:479
0.67	 D0:50	 D1:414	 D2:134
0.67	 A0:50	 A1:380	 A2:110

0.72	 B0:161	 B1:324	 B2:114
0.70	 C0:70	 C1:155	 C2:479
0.70	 D0:50	 D1:415	 D2:134
0.70	 A0:50	 A1:380	 A2:110

0.75	 B0:161	 B1:324	 B2:114
0.73	 C0:70	 C1:155	 C2:479
