0.00	 C0:60	 C1:280	 C2:117
0.00	 A0:78	 A1:498	 A2:211
0.00	 B0:216	 B1:313	 B2:133
0.00	 D0:19	 D1:117	 D2:51

0.01	 C0:61	 C1:280	 C2:117
0.01	 A0:78	 A1:498	 A2:211
0.01	 B0:216	 B1:312	 B2:133
0.01	 D0:19	 D1:117	 D2:51

0.02	 C0:61	 C1:280	 C2:117
0.02	 A0:78	 A1:498	 A2:211
0.02	 B0:216	 B1:313	 B2:133
0.02	 D0:19	 D1:117	 D2:51

0.03	 C0:61	 C1:280	 C2:117
0.03	 A0:78	 A1:498	 A2:212
0.03	 B0:216	 B1:313	 B2:133
0.03	 D0:19	 D1:117	 D2:51

0.06	 C0:60	 C1:280	 C2:117
0.06	 A0:78	 A1:498	 A2:211
0.07	 B0:216	 B1:312	 B2:133
0.06	 D0:19	 D1:117	 D2:51

0.09	 C0:61	 C1:280	 C2:117
0.09	 A0:78	 A1:498	 A2:211
0.10	 B0:216	 B1:313	 B2:133
0.09	 D0:19	 D1:117	 D2:51

0.12	 C0:60	 C1:280	 C2:117
0.12	 A0:78	 A1:498	 A2:211
0.13	 B0:216	 B1:312	 B2:133
0.12	 D0:19	 D1:118	 D2:52

0.15	 C0:60	 C1:280	 C2:117
0.15	 A0:78	 A1:498	 A2:211
0.16	 B0:216	 B1:313	 B2:133
0.14	 D0:19	 D1:117	 D2:51

0.18	 C0:60	 C1:280	 C2:117
0.18	 A0:78	 A1:498	 A2:211
0.19	 B0:216	 B1:312	 B2:133
0.17	 D0:19	 D1:117	 D2:51

0.21	 C0:60	 C1:280	 C2:117
0.21	 A0:78	 A1:498	 A2:212
0.22	 B0:216	 B1:313	 B2:133
0.20	 D0:19	 D1:118	 D2:51

0.24	 C0:60	 C1:280	 C2:117
0.24	 A0:78	 A1:498	 A2:212
0.25	 B0:216	 B1:312	 B2:133
0.23	 D0:19	 D1:117	 D2:51

0.27	 C0:60	 C1:280	 C2:117
0.27	 A0:78	 A1:498	 A2:211
0.28	 B0:216	 B1:313	 B2:133
0.26	 D0:19	 D1:118	 D2:51

0.30	 C0:61	 C1:280	 C2:117
0.30	 A0:78	 A1:498	 A2:211
0.32	 B0:216	 B1:313	 B2:133
0.29	 D0:19	 D1:117	 D2:51

0.33	 C0:61	 C1:280	 C2:117
0.33	 A0:78	 A1:498	 A2:212
0.35	 B0:216	 B1:313	 B2:133
0.32	 D0:19	 D1:118	 D2:51

0.36	 C0:60	 C1:280	 C2:117
0.36	 A0:78	 A1:498	 A2:211
0.38	 B0:216	 B1:313	 B2:133
0.35	 D0:19	 D1:118	 D2:51

0.39	 C0:60	 C1:280	 C2:117
0.39	 A0:78	 A1:498	 A2:212
0.41	 B0:216	 B1:313	 B2:133
0.38	 D0:19	 D1:117	 D2:51

0.42	 C0:61	 C1:280	 C2:117
0.42	 A0:78	 A1:498	 A2:212
0.44	 B0:216	 B1:312	 B2:133
0.41	 D0:19	 D1:117	 D2:52

0.45	 C0:61	 C1:280	 C2:117
0.45	 A0:78	 A1:498	 A2:212
0.47	 B0:216	 B1:312	 B2:133
0.44	 D0:19	 D1:118	 D2:52

0.49	 C0:61	 C1:280	 C2:117
0.49	 A0:78	 A1:498	 A2:212
0.50	 B0:216	 B1:312	 B2:133
0.46	 D0:19	 D1:118	 D2:52

0.51	 C0:61	 C1:280	 C2:117
0.51	 A0:78	 A1:498	 A2:211
0.53	 B0:216	 B1:312	 B2:133
0.50	 D0:19	 D1:118	 D2:52

0.54	 C0:60	 C1:280	 C2:117
0.54	 A0:78	 A1:498	 A2:211
0.57	 B0:216	 B1:312	 B2:133
0.52	 D0:19	 D1:118	 D2:52

0.57	 C0:61	 C1:280	 C2:117
0.57	 A0:78	 A1:498	 A2:212
