0.00	 C0:59	 C1:263	 C2:114
0.00	 A0:76	 A1:488	 A2:207
0.00	 B0:207	 B1:296	 B2:129
0.00	 D0:19	 D1:110	 D2:47

0.01	 C0:59	 C1:263	 C2:114
0.01	 A0:76	 A1:488	 A2:208
0.01	 B0:207	 B1:296	 B2:129
0.01	 D0:19	 D1:110	 D2:47

0.02	 C0:59	 C1:263	 C2:114
0.02	 A0:77	 A1:488	 A2:207
0.02	 B0:206	 B1:296	 B2:129
0.02	 D0:19	 D1:110	 D2:47

0.03	 C0:59	 C1:263	 C2:114
0.03	 A0:76	 A1:488	 A2:207
0.03	 B0:206	 B1:296	 B2:129
0.03	 D0:19	 D1:110	 D2:47

0.06	 C0:59	 C1:263	 C2:114
0.06	 A0:76	 A1:488	 A2:207
0.07	 B0:206	 B1:296	 B2:129
0.06	 D0:19	 D1:110	 D2:47

0.09	 C0:59	 C1:263	 C2:114
0.09	 A0:76	 A1:488	 A2:207
0.10	 B0:207	 B1:296	 B2:128
0.09	 D0:19	 D1:110	 D2:47

0.12	 C0:59	 C1:263	 C2:113
0.12	 A0:76	 A1:488	 A2:207
0.13	 B0:207	 B1:296	 B2:129
0.12	 D0:19	 D1:110	 D2:47

0.15	 C0:58	 C1:263	 C2:114
0.15	 A0:76	 A1:488	 A2:207
0.16	 B0:207	 B1:296	 B2:128
0.14	 D0:19	 D1:110	 D2:47

0.18	 C0:58	 C1:263	 C2:114
0.18	 A0:76	 A1:488	 A2:207
0.19	 B0:207	 B1:296	 B2:129
0.17	 D0:19	 D1:111	 D2:47

0.21	 C0:58	 C1:263	 C2:113
0.21	 A0:76	 A1:488	 A2:207
0.22	 B0:207	 B1:296	 B2:129
0.20	 D0:19	 D1:110	 D2:47

0.24	 C0:59	 C1:263	 C2:114
0.24	 A0:76	 A1:488	 A2:207
0.25	 B0:206	 B1:296	 B2:129
0.23	 D0:19	 D1:110	 D2:47

0.27	 C0:59	 C1:263	 C2:114
0.27	 A0:76	 A1:488	 A2:207
0.28	 B0:207	 B1:296	 B2:128
0.26	 D0:19	 D1:110	 D2:47

0.30	 C0:59	 C1:263	 C2:114
0.30	 A0:76	 A1:488	 A2:207
0.32	 B0:207	 B1:296	 B2:129
0.29	 D0:19	 D1:111	 D2:47

0.33	 C0:59	 C1:263	 C2:114
0.33	 A0:76	 A1:488	 A2:207
0.35	 B0:207	 B1:296	 B2:129
0.32	 D0:19	 D1:111	 D2:47

0.36	 C0:59	 C1:263	 C2:114
0.36	 A0:76	 A1:488	 A2:208
0.38	 B0:207	 B1:296	 B2:129
0.35	 D0:19	 D1:111	 D2:47

0.39	 C0:59	 C1:263	 C2:114
0.39	 A0:76	 A1:488	 A2:207
0.41	 B0:207	 B1:296	 B2:129
0.38	 D0:19	 D1:110	 D2:47

0.42	 C0:59	 C1:263	 C2:113
0.42	 A0:76	 A1:488	 A2:207
0.44	 B0:207	 B1:296	 B2:129
0.41	 D0:19	 D1:110	 D2:47

0.45	 C0:59	 C1:263	 C2:114
0.45	 A0:76	 A1:488	 A2:207
0.47	 B0:207	 B1:296	 B2:129
0.44	 D0:19	 D1:110	 D2:47

0.49	 C0:59	 C1:263	 C2:114
0.49	 A0:76	 A1:488	 A2:207
0.50	 B0:207	 B1:295	 B2:129
0.46	 D0:19	 D1:110	 D2:47

0.51	 C0:59	 C1:263	 C2:114
0.51	 A0:76	 A1:488	 A2:208
0.53	 B0:207	 B1:296	 B2:129
0.50	 D0:19	 D1:110	 D2:47

0.54	 C0:59	 C1:263	 C2:114
0.54	 A0:77	 A1:488	 A2:207
0.57	 B0:207	 B1:296	 B2:129
0.52	 D0:19	 D1:110	 D2:47

0.57	 C0:59	 C1:263	 C2:114
0.57	 A0:76	 A1:488	 A2:207
0.60	 B0:207	 B1:296	 B2:128
0.55	 D0:19	 D1:110	 D2:47

0.61	 C0:59	 C1:263	 C2:114
0.61	 A0:76	 A1:488	 A2:208
0.63	 B0:207	 B1:296	 B2:129
0.58	 D0:19	 D1:110	 D2:47

0.63	 C0:59	 C1:263	 C2:113
0.63	 A0:76	 A1:488	 A2:207
0.66	 B0:207	 B1:296	 B2:129
0.61	 D0:19	 D1:110	 D2:47

0.67	 C0:59	 C1:263	 C2:113
0.67	 A0:76	 A1:488	 A2:207
0.69	 B0:207	 B1:296	 B2:129
0.64	 D0:19	 D1:110	 D2:47

0.70	 C0:58	 C1:263	 C2:114
0.70	 A0:76	 A1:488	 A2:207
0.72	 B0:207	 B1:296	 B2:129
0.67	 D0:19	 D1:110	 D2:47

0.73	 C0:59	 C1:263	 C2:114
0.73	 A0:76	 A1:488	 A2:207
0.75	 B0:207	 B1:296	 B2:128
0.70	 D0:19	 D1:110	 D2:47

0.76	 C0:59	 C1:263	 C2:114
0.76	 A0:76	 A1:488	 A2:207
0.78	 B0:207	 B1:296	 B2:129
0.73	 D0:19	 D1:110	 D2:47

0.79	 C0:59	 C1:263	 C2:114
0.79	 A0:77	 A1:488	 A2:208
0.81	 B0:207	 B1:296	 B2:128
0.76	 D0:19	 D1:110	 D2:47

0.82	 C0:58	 C1:263	 C2:114
0.82	 A0:76	 A1:488	 A2:207
0.85	 B0:207	 B1:296	 B2:129
0.79	 D0:19	 D1:110	 D2:47

0.85	 C0:59	 C1:263	 C2:114
0.85	 A0:76	 A1:488	 A2:207
0.88	 B0:207	 B1:296	 B2:129
0.81	 D0:19	 D1:110	 D2:47

0.88	 C0:59	 C1:263	 C2:114
0.88	 A0:76	 A1:488	 A2:207
0.91	 B0:207	 B1:296	 B2:129
0.84	 D0:19	 D1:110	 D2:47

0.91	 C0:59	 C1:263	 C2:113
0.91	 A0:76	 A1:488	 A2:208
0.94	 B0:207	 B1:296	 B2:129
0.87	 D0:19	 D1:110	 D2:47

0.94	 C0:59	 C1:263	 C2:114
0.94	 A0:76	 A1:488	 A2:207
0.97	 B0:207	 B1:296	 B2:129
0.90	 D0:19	 D1:110	 D2:47

0.97	 C0:58	 C1:263	 C2:114
0.97	 A0:76	 A1:488	 A2:208
1.00	 B0:207	 B1:296	 B2:129
0.93	 D0:19	 D1:110	 D2:47

1.00	 C0:59	 C1:263	 C2:114
1.00	 A0:76	 A1:488	 A2:208
1.03	 B0:207	 B1:296	 B2:129
0.96	 D0:19	 D1:110	 D2:47

1.03	 C0:59	 C1:263	 C2:113
1.03	 A0:76	 A1:489	 A2:208
1.06	 B0:207	 B1:296	 B2:129
0.99	 D0:19	 D1:110	 D2:47

1.06	 C0:59	 C1:263	 C2:113
1.06	 A0:76	 A1:488	 A2:207
1.10	 B0:207	 B1:296	 B2:129
