0.00	 C0:66	 C1:302	 C2:116
0.00	 A0:88	 A1:512	 A2:221
0.00	 B0:233	 B1:327	 B2:138
0.00	 D0:22	 D1:113	 D2:68

0.01	 C0:66	 C1:302	 C2:116
0.01	 A0:88	 A1:512	 A2:221
0.01	 B0:233	 B1:327	 B2:138
0.01	 D0:22	 D1:112	 D2:68

0.02	 C0:66	 C1:302	 C2:116
0.02	 A0:88	 A1:512	 A2:221
0.02	 B0:233	 B1:327	 B2:138
0.02	 D0:22	 D1:113	 D2:68

0.03	 C0:66	 C1:302	 C2:116
0.03	 A0:88	 A1:512	 A2:221
0.03	 B0:233	 B1:327	 B2:138
0.03	 D0:22	 D1:113	 D2:68

0.06	 C0:66	 C1:302	 C2:116
0.06	 A0:88	 A1:512	 A2:221
0.07	 B0:233	 B1:327	 B2:138
0.06	 D0:22	 D1:113	 D2:68

0.09	 C0:66	 C1:302	 C2:116
0.09	 A0:88	 A1:512	 A2:221
0.10	 B0:233	 B1:327	 B2:138
0.09	 D0:22	 D1:113	 D2:68

0.12	 C0:66	 C1:302	 C2:115
0.12	 A0:88	 A1:512	 A2:221
0.13	 B0:233	 B1:327	 B2:138
0.12	 D0:22	 D1:113	 D2:68

0.15	 C0:66	 C1:302	 C2:116
0.15	 A0:88	 A1:512	 A2:221
0.16	 B0:233	 B1:327	 B2:138
0.14	 D0:22	 D1:113	 D2:68

0.18	 C0:66	 C1:302	 C2:116
0.18	 A0:88	 A1:512	 A2:221
0.19	 B0:233	 B1:327	 B2:138
0.17	 D0:22	 D1:113	 D2:68

0.21	 C0:66	 C1:302	 C2:116
0.21	 A0:88	 A1:512	 A2:221
0.22	 B0:233	 B1:327	 B2:138
0.20	 D0:22	 D1:113	 D2:68

0.24	 C0:66	 C1:302	 C2:116
0.24	 A0:88	 A1:512	 A2:221
0.25	 B0:233	 B1:327	 B2:138
0.23	 D0:22	 D1:113	 D2:68

0.27	 C0:66	 C1:302	 C2:116
0.27	 A0:88	 A1:512	 A2:221
0.28	 B0:233	 B1:327	 B2:138
0.26	 D0:22	 D1:113	 D2:68

0.30	 C0:65	 C1:302	 C2:115
0.30	 A0:88	 A1:512	 A2:221
0.32	 B0:233	 B1:327	 B2:138
0.29	 D0:22	 D1:113	 D2:69

0.33	 C0:66	 C1:302	 C2:116
0.33	 A0:88	 A1:512	 A2:221
0.35	 B0:233	 B1:327	 B2:138
0.32	 D0:22	 D1:112	 D2:68

0.36	 C0:66	 C1:302	 C2:116
