0.00	 C0:81	 C1:369	 C2:142
0.00	 A0:123	 A1:543	 A2:249
0.00	 B0:287	 B1:400	 B2:157
0.00	 D0:31	 D1:160	 D2:65

0.01	 C0:81	 C1:369	 C2:142
0.01	 A0:123	 A1:543	 A2:249
0.01	 B0:287	 B1:400	 B2:156
0.01	 D0:31	 D1:160	 D2:65

0.02	 C0:82	 C1:369	 C2:142
0.02	 A0:123	 A1:543	 A2:249
0.02	 B0:287	 B1:400	 B2:157
0.02	 D0:32	 D1:160	 D2:65

0.03	 C0:81	 C1:369	 C2:142
0.03	 A0:123	 A1:543	 A2:249
0.03	 B0:288	 B1:400	 B2:157
0.03	 D0:31	 D1:160	 D2:65

0.06	 C0:81	 C1:369	 C2:142
0.07	 A0:123	 A1:543	 A2:249
0.07	 B0:287	 B1:400	 B2:157
0.06	 D0:32	 D1:160	 D2:65

0.09	 C0:81	 C1:369	 C2:142
0.10	 A0:123	 A1:543	 A2:249
0.10	 B0:287	 B1:400	 B2:156
0.09	 D0:32	 D1:160	 D2:66

0.12	 C0:81	 C1:369	 C2:142
0.13	 A0:123	 A1:543	 A2:249
0.13	 B0:287	 B1:400	 B2:156
0.12	 D0:31	 D1:160	 D2:66

0.15	 C0:82	 C1:370	 C2:142
0.16	 A0:123	 A1:543	 A2:249
0.16	 B0:287	 B1:400	 B2:156
0.14	 D0:31	 D1:160	 D2:65

0.18	 C0:82	 C1:369	 C2:142
0.19	 A0:123	 A1:544	 A2:249
0.19	 B0:287	 B1:400	 B2:156
0.17	 D0:32	 D1:160	 D2:65

0.21	 C0:81	 C1:369	 C2:142
0.22	 A0:123	 A1:543	 A2:249
0.22	 B0:287	 B1:400	 B2:156
0.20	 D0:32	 D1:160	 D2:65

0.24	 C0:81	 C1:370	 C2:142
0.25	 A0:123	 A1:544	 A2:249
0.25	 B0:288	 B1:400	 B2:156
0.23	 D0:32	 D1:160	 D2:65

0.27	 C0:82	 C1:369	 C2:143
0.28	 A0:123	 A1:543	 A2:249
0.28	 B0:287	 B1:400	 B2:156
0.26	 D0:32	 D1:160	 D2:65

0.30	 C0:81	 C1:370	 C2:142
0.32	 A0:123	 A1:544	 A2:249
0.32	 B0:287	 B1:400	 B2:156
0.29	 D0:31	 D1:160	 D2:65

0.33	 C0:82	 C1:369	 C2:142
0.35	 A0:123	 A1:543	 A2:249
0.35	 B0:287	 B1:400	 B2:157
0.32	 D0:32	 D1:160	 D2:65

0.36	 C0:81	 C1:370	 C2:142
0.38	 A0:123	 A1:543	 A2:249
0.38	 B0:287	 B1:400	 B2:156
0.35	 D0:32	 D1:160	 D2:65

0.39	 C0:81	 C1:370	 C2:142
0.41	 A0:123	 A1:543	 A2:249
0.41	 B0:288	 B1:400	 B2:157
0.38	 D0:32	 D1:160	 D2:65

0.42	 C0:82	 C1:370	 C2:142
0.44	 A0:123	 A1:544	 A2:249
0.44	 B0:287	 B1:400	 B2:157
0.41	 D0:32	 D1:160	 D2:65

0.45	 C0:81	 C1:370	 C2:142
0.47	 A0:123	 A1:543	 A2:249
0.47	 B0:288	 B1:400	 B2:156
0.44	 D0:32	 D1:160	 D2:65

0.49	 C0:82	 C1:369	 C2:142
0.50	 A0:123	 A1:543	 A2:249
0.50	 B0:288	 B1:400	 B2:156
0.46	 D0:32	 D1:160	 D2:66

0.51	 C0:81	 C1:370	 C2:142
0.53	 A0:123	 A1:543	 A2:249
0.53	 B0:287	 B1:400	 B2:157
0.50	 D0:32	 D1:160	 D2:65

0.54	 C0:81	 C1:370	 C2:142
0.57	 A0:123	 A1:543	 A2:249
0.57	 B0:287	 B1:400	 B2:157
0.52	 D0:32	 D1:160	 D2:65

0.57	 C0:82	 C1:370	 C2:142
0.60	 A0:123	 A1:543	 A2:249
0.60	 B0:287	 B1:400	 B2:157
0.55	 D0:32	 D1:160	 D2:65

0.61	 C0:81	 C1:369	 C2:142
0.63	 A0:123	 A1:544	 A2:249
0.63	 B0:288	 B1:400	 B2:157
0.58	 D0:32	 D1:160	 D2:65

0.63	 C0:82	 C1:370	 C2:142
0.66	 A0:123	 A1:543	 A2:249
0.66	 B0:287	 B1:400	 B2:156
0.61	 D0:32	 D1:160	 D2:65

0.67	 C0:82	 C1:369	 C2:142
0.69	 A0:123	 A1:543	 A2:249
0.69	 B0:287	 B1:400	 B2:157
0.64	 D0:32	 D1:160	 D2:65

0.70	 C0:82	 C1:369	 C2:142
0.72	 A0:123	 A1:544	 A2:249
0.72	 B0:288	 B1:400	 B2:157
0.67	 D0:32	 D1:160	 D2:65

0.73	 C0:81	 C1:369	 C2:143
0.75	 A0:123	 A1:544	 A2:249
0.75	 B0:287	 B1:400	 B2:157
0.70	 D0:32	 D1:160	 D2:65

0.76	 C0:81	 C1:369	 C2:142
0.78	 A0:123	 A1:544	 A2:249
0.78	 B0:287	 B1:400	 B2:157
0.73	 D0:32	 D1:160	 D2:65

0.79	 C0:81	 C1:369	 C2:142
0.81	 A0:123	 A1:543	 A2:249
0.81	 B0:287	 B1:400	 B2:156
0.76	 D0:32	 D1:160	 D2:65

0.82	 C0:81	 C1:369	 C2:142
0.85	 A0:123	 A1:543	 A2:249
0.85	 B0:287	 B1:400	 B2:156
0.79	 D0:31	 D1:160	 D2:65

0.85	 C0:82	 C1:370	 C2:142
0.88	 A0:123	 A1:544	 A2:249
0.88	 B0:288	 B1:400	 B2:156
0.81	 D0:31	 D1:160	 D2:65

0.88	 C0:82	 C1:369	 C2:142
0.91	 A0:123	 A1:543	 A2:249
0.91	 B0:287	 B1:400	 B2:157
0.84	 D0:32	 D1:160	 D2:65

0.91	 C0:81	 C1:370	 C2:142
0.94	 A0:123	 A1:543	 A2:249
0.94	 B0:288	 B1:400	 B2:157
0.87	 D0:32	 D1:160	 D2:65

0.94	 C0:81	 C1:370	 C2:142
0.97	 A0:123	 A1:543	 A2:249
0.97	 B0:287	 B1:400	 B2:157
0.90	 D0:32	 D1:160	 D2:65

0.97	 C0:81	 C1:369	 C2:142
1.00	 A0:123	 A1:543	 A2:249
1.00	 B0:287	 B1:400	 B2:156
0.93	 D0:32	 D1:160	 D2:65

1.00	 C0:82	 C1:369	 C2:142
1.03	 A0:123	 A1:543	 A2:249
1.03	 B0:287	 B1:400	 B2:156
0.96	 D0:31	 D1:160	 D2:66

1.03	 C0:82	 C1:369	 C2:142
1.06	 A0:123	 A1:544	 A2:249
1.06	 B0:287	 B1:400	 B2:156
0.99	 D0:32	 D1:160	 D2:65

1.06	 C0:82	 C1:370	 C2:142
1.10	 A0:123	 A1:543	 A2:249
1.10	 B0:287	 B1:400	 B2:156
