0.00	 B0:28	 B1:295	 B2:206

0.00	 C0:51	 C1:128	 C2:334

0.00	 D0:33	 D1:247	 D2:104

0.16	 A0:733	 A1:765	 A2:99


0.01	 B0:28	 B1:294	 B2:207

0.01	 C0:51	 C1:128	 C2:334

0.01	 D0:33	 D1:247	 D2:104

0.16	 A0:733	 A1:765	 A2:99


0.02	 B0:28	 B1:294	 B2:206

0.02	 C0:51	 C1:128	 C2:334

0.02	 D0:34	 D1:247	 D2:104

0.19	 A0:733	 A1:765	 A2:99


0.03	 B0:28	 B1:294	 B2:206

0.03	 C0:51	 C1:128	 C2:334

0.03	 D0:33	 D1:247	 D2:104

0.22	 A0:733	 A1:765	 A2:99


0.06	 B0:28	 B1:294	 B2:207

0.06	 C0:51	 C1:128	 C2:334

0.06	 D0:33	 D1:246	 D2:105

0.25	 A0:733	 A1:765	 A2:99


0.09	 B0:28	 B1:295	 B2:206

0.09	 C0:51	 C1:128	 C2:334

0.09	 D0:33	 D1:247	 D2:104

0.28	 A0:733	 A1:765	 A2:99


0.12	 B0:27	 B1:295	 B2:206

0.12	 C0:51	 C1:128	 C2:334

0.12	 D0:33	 D1:247	 D2:104

0.31	 A0:733	 A1:765	 A2:99


0.15	 B0:28	 B1:295	 B2:207

0.15	 C0:51	 C1:128	 C2:334

0.15	 D0:33	 D1:247	 D2:104

0.34	 A0:733	 A1:765	 A2:99


0.18	 B0:27	 B1:294	 B2:206

0.18	 C0:51	 C1:128	 C2:334

0.18	 D0:33	 D1:247	 D2:104

0.37	 A0:733	 A1:765	 A2:99


0.21	 B0:28	 B1:294	 B2:206

0.21	 C0:51	 C1:128	 C2:334

0.21	 D0:33	 D1:247	 D2:104

0.40	 A0:733	 A1:765	 A2:99


0.24	 B0:27	 B1:294	 B2:206

0.24	 C0:51	 C1:128	 C2:334

0.24	 D0:33	 D1:247	 D2:104

0.43	 A0:733	 A1:765	 A2:99


0.27	 B0:27	 B1:295	 B2:206

0.27	 C0:51	 C1:128	 C2:334

0.27	 D0:33	 D1:247	 D2:104

