0.00	 B0:21	 B1:261	 B2:180
0.00	 C0:47	 C1:127	 C2:300
0.00	 D0:31	 D1:231	 D2:110
0.00	 A0:725	 A1:757	 A2:72

0.01	 B0:21	 B1:261	 B2:180
0.01	 C0:47	 C1:128	 C2:300
0.01	 D0:31	 D1:231	 D2:110
0.01	 A0:725	 A1:757	 A2:71

0.02	 B0:22	 B1:261	 B2:180
0.02	 C0:47	 C1:128	 C2:300
0.02	 D0:31	 D1:231	 D2:110
0.02	 A0:725	 A1:757	 A2:71

0.03	 B0:21	 B1:261	 B2:180
0.03	 C0:47	 C1:128	 C2:300
0.03	 D0:31	 D1:231	 D2:110
0.03	 A0:725	 A1:757	 A2:71

0.06	 B0:21	 B1:261	 B2:180
0.06	 C0:47	 C1:128	 C2:300
0.06	 D0:31	 D1:231	 D2:110
0.06	 A0:725	 A1:757	 A2:72

0.09	 B0:21	 B1:261	 B2:180
0.09	 C0:47	 C1:128	 C2:300
0.09	 D0:31	 D1:231	 D2:109
0.09	 A0:723	 A1:755	 A2:71

0.12	 B0:21	 B1:261	 B2:180
0.12	 C0:47	 C1:128	 C2:300
0.12	 D0:31	 D1:231	 D2:109
0.12	 A0:724	 A1:756	 A2:71

0.15	 B0:21	 B1:261	 B2:180
0.15	 C0:47	 C1:128	 C2:300
0.15	 D0:31	 D1:231	 D2:110
0.15	 A0:724	 A1:756	 A2:71

0.18	 B0:21	 B1:261	 B2:180
0.18	 C0:47	 C1:127	 C2:300
0.18	 D0:31	 D1:231	 D2:110
0.18	 A0:725	 A1:756	 A2:71

0.21	 B0:21	 B1:261	 B2:180
0.21	 C0:47	 C1:128	 C2:300
0.21	 D0:31	 D1:232	 D2:110
0.21	 A0:725	 A1:757	 A2:71

0.24	 B0:21	 B1:261	 B2:180
0.24	 C0:47	 C1:127	 C2:300
0.24	 D0:31	 D1:231	 D2:110
0.24	 A0:725	 A1:757	 A2:72

0.27	 B0:21	 B1:261	 B2:180
0.27	 C0:47	 C1:127	 C2:300
0.27	 D0:30	 D1:231	 D2:110
0.27	 A0:725	 A1:756	 A2:72

0.30	 B0:21	 B1:261	 B2:180
0.30	 C0:47	 C1:127	 C2:300
0.30	 D0:31	 D1:231	 D2:110
0.30	 A0:725	 A1:757	 A2:71

0.33	 B0:21	 B1:261	 B2:180
0.33	 C0:47	 C1:127	 C2:300
0.33	 D0:31	 D1:231	 D2:110
0.33	 A0:725	 A1:757	 A2:72

0.36	 B0:21	 B1:261	 B2:180
0.36	 C0:47	 C1:128	 C2:300
0.36	 D0:31	 D1:231	 D2:110
0.36	 A0:725	 A1:757	 A2:71

0.39	 B0:21	 B1:261	 B2:180
0.39	 C0:47	 C1:128	 C2:300
0.39	 D0:31	 D1:231	 D2:110
0.39	 A0:725	 A1:757	 A2:71

0.42	 B0:22	 B1:261	 B2:180
0.42	 C0:47	 C1:128	 C2:300
0.42	 D0:31	 D1:231	 D2:110
0.42	 A0:725	 A1:757	 A2:71

0.45	 B0:21	 B1:261	 B2:180
0.45	 C0:47	 C1:127	 C2:300
0.45	 D0:30	 D1:231	 D2:110
0.45	 A0:725	 A1:757	 A2:71

0.49	 B0:22	 B1:261	 B2:180
0.49	 C0:47	 C1:127	 C2:300
0.49	 D0:30	 D1:231	 D2:110
0.49	 A0:725	 A1:757	 A2:71

0.51	 B0:21	 B1:261	 B2:180
0.51	 C0:47	 C1:127	 C2:300
0.51	 D0:30	 D1:231	 D2:110
0.51	 A0:725	 A1:757	 A2:71

0.54	 B0:21	 B1:261	 B2:180
0.54	 C0:47	 C1:127	 C2:300
0.54	 D0:30	 D1:231	 D2:110
0.54	 A0:725	 A1:757	 A2:71

0.57	 B0:21	 B1:261	 B2:180
0.57	 C0:47	 C1:128	 C2:300
0.57	 D0:31	 D1:231	 D2:110
0.57	 A0:725	 A1:757	 A2:72

0.61	 B0:21	 B1:261	 B2:180
0.61	 C0:47	 C1:128	 C2:300
0.61	 D0:30	 D1:231	 D2:110
0.61	 A0:725	 A1:757	 A2:71

0.63	 B0:21	 B1:261	 B2:180
0.63	 C0:47	 C1:128	 C2:300
0.63	 D0:30	 D1:231	 D2:110
0.63	 A0:725	 A1:757	 A2:71

0.67	 B0:21	 B1:261	 B2:180
0.67	 C0:47	 C1:128	 C2:300
0.67	 D0:31	 D1:231	 D2:110
0.67	 A0:726	 A1:757	 A2:71

0.70	 B0:21	 B1:261	 B2:180
0.70	 C0:47	 C1:128	 C2:300
