0.00	 C0:718	 C1:751	 C2:124
0.00	 D0:17	 D1:97	 D2:85

0.01	 C0:718	 C1:750	 C2:124
0.01	 D0:18	 D1:97	 D2:85

0.02	 C0:718	 C1:750	 C2:124
0.02	 D0:17	 D1:97	 D2:85

0.03	 C0:718	 C1:750	 C2:124
0.03	 D0:18	 D1:97	 D2:85

0.07	 C0:718	 C1:750	 C2:124
0.05	 D0:17	 D1:97	 D2:85

0.10	 C0:718	 C1:750	 C2:124
0.08	 D0:18	 D1:97	 D2:85

0.13	 C0:718	 C1:750	 C2:124
0.11	 D0:17	 D1:97	 D2:85

0.16	 C0:718	 C1:750	 C2:124
0.14	 D0:17	 D1:97	 D2:85

0.19	 C0:718	 C1:750	 C2:124
0.17	 D0:17	 D1:97	 D2:85

0.22	 C0:718	 C1:750	 C2:124
0.19	 D0:17	 D1:97	 D2:85

0.25	 C0:718	 C1:750	 C2:124
0.22	 D0:17	 D1:97	 D2:85

0.28	 C0:718	 C1:750	 C2:124
0.25	 D0:17	 D1:97	 D2:85

0.32	 C0:718	 C1:750	 C2:124
0.28	 D0:18	 D1:97	 D2:85

0.35	 C0:718	 C1:750	 C2:124
0.31	 D0:17	 D1:97	 D2:85

0.38	 C0:718	 C1:750	 C2:124
0.33	 D0:18	 D1:97	 D2:85

0.41	 C0:718	 C1:750	 C2:124
0.36	 D0:17	 D1:97	 D2:85

0.44	 C0:718	 C1:750	 C2:124
0.39	 D0:17	 D1:97	 D2:85

0.47	 C0:718	 C1:750	 C2:124
0.42	 D0:18	 D1:97	 D2:85

0.50	 C0:718	 C1:750	 C2:124
0.45	 D0:17	 D1:97	 D2:85

0.53	 C0:718	 C1:750	 C2:124
0.47	 D0:17	 D1:97	 D2:85

0.57	 C0:718	 C1:750	 C2:124
0.50	 D0:17	 D1:97	 D2:85

0.60	 C0:718	 C1:750	 C2:124
0.53	 D0:17	 D1:97	 D2:85

0.63	 C0:718	 C1:751	 C2:124
0.56	 D0:18	 D1:97	 D2:85

0.66	 C0:718	 C1:750	 C2:124
0.59	 D0:17	 D1:97	 D2:85

0.69	 C0:718	 C1:750	 C2:124
0.61	 D0:18	 D1:97	 D2:85

0.72	 C0:718	 C1:750	 C2:124
0.64	 D0:17	 D1:97	 D2:85

0.75	 C0:718	 C1:750	 C2:124
0.67	 D0:17	 D1:97	 D2:85

0.78	 C0:718	 C1:750	 C2:124
0.70	 D0:17	 D1:97	 D2:85

0.81	 C0:718	 C1:750	 C2:124
0.73	 D0:18	 D1:97	 D2:85

0.85	 C0:718	 C1:750	 C2:124
0.76	 D0:17	 D1:97	 D2:85

