0.00	 C0:722	 C1:750	 C2:205
0.00	 D0:53	 D1:166	 D2:150

0.01	 C0:722	 C1:750	 C2:205
0.01	 D0:54	 D1:166	 D2:150

0.02	 C0:722	 C1:750	 C2:205
0.02	 D0:53	 D1:166	 D2:150

0.03	 C0:722	 C1:750	 C2:205
0.03	 D0:53	 D1:166	 D2:150

0.07	 C0:722	 C1:750	 C2:206
0.06	 D0:53	 D1:166	 D2:150

0.10	 C0:722	 C1:750	 C2:205
0.09	 D0:53	 D1:166	 D2:150

0.13	 C0:722	 C1:750	 C2:206
0.12	 D0:53	 D1:166	 D2:150

0.16	 C0:722	 C1:750	 C2:206
0.15	 D0:53	 D1:166	 D2:150

0.19	 C0:722	 C1:750	 C2:205
0.18	 D0:53	 D1:166	 D2:150

0.22	 C0:722	 C1:750	 C2:205
0.21	 D0:53	 D1:166	 D2:150

0.25	 C0:722	 C1:750	 C2:205
0.24	 D0:53	 D1:166	 D2:150

0.28	 C0:722	 C1:750	 C2:205
0.27	 D0:53	 D1:166	 D2:150

0.32	 C0:722	 C1:750	 C2:205
0.30	 D0:53	 D1:166	 D2:150

0.35	 C0:722	 C1:750	 C2:205
0.33	 D0:53	 D1:166	 D2:150

0.38	 C0:722	 C1:750	 C2:205
0.36	 D0:54	 D1:166	 D2:150

0.41	 C0:722	 C1:750	 C2:205
0.39	 D0:53	 D1:166	 D2:150

0.44	 C0:722	 C1:750	 C2:205
0.42	 D0:54	 D1:166	 D2:150

0.47	 C0:722	 C1:750	 C2:205
0.45	 D0:54	 D1:166	 D2:150

0.50	 C0:722	 C1:750	 C2:205
0.49	 D0:54	 D1:166	 D2:150

0.53	 C0:722	 C1:750	 C2:205
0.51	 D0:54	 D1:166	 D2:150

0.57	 C0:722	 C1:750	 C2:205
0.54	 D0:53	 D1:166	 D2:150

0.60	 C0:722	 C1:750	 C2:205
0.57	 D0:54	 D1:166	 D2:150

0.63	 C0:722	 C1:750	 C2:205
0.61	 D0:53	 D1:166	 D2:150

0.66	 C0:722	 C1:750	 C2:205
0.63	 D0:53	 D1:166	 D2:150

