0.00	 C0:719	 C1:751	 C2:155
0.00	 D0:28	 D1:128	 D2:122

0.01	 C0:719	 C1:751	 C2:155
0.01	 D0:29	 D1:128	 D2:123

0.02	 C0:719	 C1:751	 C2:155
0.02	 D0:29	 D1:128	 D2:123

0.03	 C0:719	 C1:751	 C2:155
0.03	 D0:29	 D1:128	 D2:122

0.07	 C0:719	 C1:751	 C2:154
0.06	 D0:29	 D1:128	 D2:122

0.10	 C0:719	 C1:751	 C2:155
0.09	 D0:29	 D1:128	 D2:123

0.13	 C0:719	 C1:751	 C2:155
0.12	 D0:29	 D1:128	 D2:123

0.16	 C0:719	 C1:751	 C2:155
0.15	 D0:29	 D1:128	 D2:122

0.19	 C0:719	 C1:751	 C2:155
0.18	 D0:29	 D1:128	 D2:122

0.22	 C0:719	 C1:751	 C2:155
0.21	 D0:29	 D1:128	 D2:123

0.25	 C0:719	 C1:751	 C2:155
0.24	 D0:29	 D1:128	 D2:123

0.28	 C0:719	 C1:751	 C2:155
0.27	 D0:29	 D1:128	 D2:123

0.32	 C0:719	 C1:751	 C2:155
0.30	 D0:29	 D1:128	 D2:123

0.35	 C0:719	 C1:751	 C2:155
0.33	 D0:29	 D1:128	 D2:123

0.38	 C0:719	 C1:751	 C2:155
0.36	 D0:29	 D1:128	 D2:122

0.41	 C0:719	 C1:751	 C2:155
0.39	 D0:29	 D1:128	 D2:123

0.44	 C0:719	 C1:751	 C2:155
0.42	 D0:29	 D1:128	 D2:123

0.47	 C0:719	 C1:751	 C2:155
0.45	 D0:29	 D1:128	 D2:122

0.50	 C0:719	 C1:751	 C2:155
0.49	 D0:29	 D1:128	 D2:122

0.53	 C0:719	 C1:751	 C2:155
0.51	 D0:29	 D1:128	 D2:123

0.57	 C0:719	 C1:751	 C2:155
0.54	 D0:29	 D1:128	 D2:122

0.60	 C0:719	 C1:751	 C2:155
0.57	 D0:29	 D1:128	 D2:123

0.63	 C0:719	 C1:751	 C2:155
0.61	 D0:29	 D1:128	 D2:123

0.66	 C0:719	 C1:751	 C2:155
0.63	 D0:29	 D1:128	 D2:123

0.69	 C0:719	 C1:751	 C2:155
0.67	 D0:29	 D1:128	 D2:123

0.72	 C0:719	 C1:751	 C2:155
0.70	 D0:29	 D1:128	 D2:123

0.75	 C0:719	 C1:751	 C2:155
0.73	 D0:29	 D1:128	 D2:123

0.78	 C0:719	 C1:751	 C2:155
0.76	 D0:29	 D1:128	 D2:123

0.81	 C0:719	 C1:751	 C2:155
0.79	 D0:29	 D1:128	 D2:123

0.85	 C0:719	 C1:750	 C2:155
0.82	 D0:29	 D1:128	 D2:123

0.88	 C0:719	 C1:751	 C2:155
0.85	 D0:29	 D1:128	 D2:122

0.91	 C0:719	 C1:751	 C2:155
0.88	 D0:29	 D1:128	 D2:123

0.94	 C0:719	 C1:751	 C2:155
0.91	 D0:28	 D1:128	 D2:123

0.97	 C0:719	 C1:751	 C2:155
0.94	 D0:29	 D1:128	 D2:123

1.00	 C0:719	 C1:751	 C2:155
0.97	 D0:29	 D1:127	 D2:123

1.03	 C0:719	 C1:751	 C2:155
1.00	 D0:28	 D1:128	 D2:123

1.06	 C0:719	 C1:751	 C2:155
1.03	 D0:29	 D1:128	 D2:123

1.10	 C0:719	 C1:751	 C2:155
1.06	 D0:29	 D1:128	 D2:123

1.13	 C0:719	 C1:751	 C2:155
1.09	 D0:28	 D1:127	 D2:123

1.16	 C0:719	 C1:751	 C2:155
1.12	 D0:29	 D1:128	 D2:123

1.19	 C0:719	 C1:751	 C2:155
1.15	 D0:29	 D1:127	 D2:123

1.22	 C0:719	 C1:751	 C2:155
1.18	 D0:29	 D1:128	 D2:123

1.25	 C0:719	 C1:751	 C2:155
1.21	 D0:29	 D1:128	 D2:123

1.28	 C0:719	 C1:751	 C2:155
1.24	 D0:29	 D1:128	 D2:123

1.31	 C0:719	 C1:751	 C2:155
1.27	 D0:29	 D1:127	 D2:123

1.35	 C0:719	 C1:751	 C2:155
1.30	 D0:28	 D1:128	 D2:123

1.38	 C0:719	 C1:751	 C2:155
1.33	 D0:28	 D1:127	 D2:123

1.41	 C0:719	 C1:751	 C2:155
1.36	 D0:28	 D1:128	 D2:123

1.44	 C0:719	 C1:751	 C2:155
1.39	 D0:29	 D1:128	 D2:123

1.47	 C0:719	 C1:751	 C2:154
1.42	 D0:29	 D1:128	 D2:123

1.50	 C0:719	 C1:751	 C2:155
1.45	 D0:29	 D1:127	 D2:123

1.53	 C0:719	 C1:751	 C2:155
1.48	 D0:29	 D1:127	 D2:123

1.56	 C0:719	 C1:751	 C2:155
1.51	 D0:29	 D1:128	 D2:123

1.60	 C0:719	 C1:751	 C2:155
1.54	 D0:28	 D1:128	 D2:123

1.63	 C0:719	 C1:751	 C2:155
1.57	 D0:28	 D1:127	 D2:123

1.66	 C0:719	 C1:751	 C2:155
1.60	 D0:28	 D1:128	 D2:123

1.69	 C0:719	 C1:751	 C2:155
1.63	 D0:28	 D1:128	 D2:123

1.72	 C0:719	 C1:751	 C2:155
1.66	 D0:29	 D1:128	 D2:123

1.75	 C0:719	 C1:751	 C2:155
1.69	 D0:28	 D1:127	 D2:123

1.78	 C0:719	 C1:751	 C2:155
1.72	 D0:28	 D1:128	 D2:123

1.81	 C0:719	 C1:751	 C2:155
1.75	 D0:29	 D1:128	 D2:123

1.85	 C0:719	 C1:751	 C2:155
1.78	 D0:29	 D1:127	 D2:123

1.88	 C0:719	 C1:751	 C2:155
1.81	 D0:29	 D1:127	 D2:123

1.91	 C0:719	 C1:751	 C2:155
1.84	 D0:28	 D1:128	 D2:123

1.94	 C0:719	 C1:751	 C2:155
1.87	 D0:29	 D1:127	 D2:123

1.97	 C0:719	 C1:751	 C2:155
1.90	 D0:29	 D1:127	 D2:123

2.00	 C0:719	 C1:751	 C2:155
