0.00	 B0:342	 B1:310	 B2:229
0.00	 C0:58	 C1:141	 C2:360
0.00	 D0:35	 D1:258	 D2:108
0.00	 A0:740	 A1:771	 A2:115

0.01	 B0:272	 B1:310	 B2:229
0.01	 C0:58	 C1:141	 C2:360
0.01	 D0:34	 D1:258	 D2:108
0.01	 A0:740	 A1:770	 A2:115

0.02	 B0:225	 B1:310	 B2:229
0.02	 C0:59	 C1:141	 C2:360
0.02	 D0:35	 D1:258	 D2:108
0.02	 A0:740	 A1:770	 A2:115

0.03	 B0:237	 B1:310	 B2:229
0.03	 C0:59	 C1:140	 C2:360
0.03	 D0:34	 D1:258	 D2:108
0.03	 A0:740	 A1:770	 A2:115

0.07	 B0:231	 B1:310	 B2:229
0.06	 C0:58	 C1:140	 C2:360
0.06	 D0:34	 D1:258	 D2:108
0.07	 A0:740	 A1:770	 A2:115

0.10	 B0:230	 B1:310	 B2:229
0.09	 C0:58	 C1:141	 C2:360
0.09	 D0:34	 D1:257	 D2:108
0.10	 A0:740	 A1:770	 A2:115

0.13	 B0:237	 B1:310	 B2:229
0.12	 C0:58	 C1:140	 C2:360
0.12	 D0:34	 D1:258	 D2:108
0.13	 A0:740	 A1:770	 A2:115

0.16	 B0:239	 B1:310	 B2:229
0.15	 C0:58	 C1:140	 C2:360
0.15	 D0:34	 D1:258	 D2:108
0.16	 A0:740	 A1:770	 A2:115

0.19	 B0:229	 B1:310	 B2:229
0.18	 C0:58	 C1:140	 C2:360
0.18	 D0:34	 D1:258	 D2:108
0.19	 A0:740	 A1:770	 A2:115

0.22	 B0:216	 B1:310	 B2:229
0.21	 C0:58	 C1:141	 C2:360
0.21	 D0:34	 D1:258	 D2:108
0.22	 A0:740	 A1:770	 A2:115

0.25	 B0:214	 B1:310	 B2:229
0.24	 C0:58	 C1:140	 C2:360
0.24	 D0:34	 D1:258	 D2:108
0.25	 A0:740	 A1:770	 A2:115

0.28	 B0:220	 B1:310	 B2:229
0.27	 C0:58	 C1:140	 C2:360
0.27	 D0:34	 D1:258	 D2:108
0.28	 A0:740	 A1:770	 A2:115

0.32	 B0:224	 B1:310	 B2:229
0.30	 C0:58	 C1:141	 C2:361
0.30	 D0:34	 D1:258	 D2:108
0.32	 A0:740	 A1:770	 A2:115

0.35	 B0:227	 B1:310	 B2:229
0.33	 C0:58	 C1:141	 C2:360
0.33	 D0:34	 D1:258	 D2:108
0.35	 A0:740	 A1:770	 A2:115

0.38	 B0:234	 B1:310	 B2:229
0.36	 C0:58	 C1:140	 C2:360
0.36	 D0:34	 D1:258	 D2:108
0.38	 A0:740	 A1:770	 A2:115

0.41	 B0:239	 B1:310	 B2:229
0.39	 C0:58	 C1:141	 C2:360
0.39	 D0:34	 D1:258	 D2:108
0.41	 A0:740	 A1:770	 A2:115

0.44	 B0:230	 B1:310	 B2:229
0.42	 C0:58	 C1:140	 C2:360
0.42	 D0:34	 D1:258	 D2:108
0.44	 A0:740	 A1:770	 A2:115

0.47	 B0:217	 B1:310	 B2:229
0.45	 C0:59	 C1:140	 C2:360
0.45	 D0:34	 D1:258	 D2:108
0.47	 A0:740	 A1:770	 A2:115

0.50	 B0:212	 B1:311	 B2:229
0.49	 C0:58	 C1:141	 C2:360
0.49	 D0:35	 D1:258	 D2:108
0.50	 A0:740	 A1:770	 A2:115

0.53	 B0:219	 B1:310	 B2:229
0.51	 C0:58	 C1:140	 C2:360
0.51	 D0:34	 D1:258	 D2:108
0.53	 A0:740	 A1:770	 A2:115

0.57	 B0:223	 B1:311	 B2:229
0.54	 C0:58	 C1:141	 C2:360
0.54	 D0:34	 D1:258	 D2:108
0.57	 A0:740	 A1:770	 A2:115

0.60	 B0:226	 B1:311	 B2:229
0.57	 C0:58	 C1:141	 C2:360
0.57	 D0:34	 D1:258	 D2:108
0.60	 A0:740	 A1:770	 A2:115

0.63	 B0:232	 B1:310	 B2:229
0.61	 C0:58	 C1:141	 C2:360
0.61	 D0:34	 D1:258	 D2:108
0.63	 A0:740	 A1:770	 A2:115

0.66	 B0:239	 B1:310	 B2:229
0.63	 C0:58	 C1:140	 C2:360
0.63	 D0:34	 D1:258	 D2:108
0.66	 A0:740	 A1:770	 A2:115

0.69	 B0:231	 B1:311	 B2:229
0.67	 C0:58	 C1:140	 C2:360
0.67	 D0:34	 D1:258	 D2:108
0.69	 A0:740	 A1:770	 A2:115

0.72	 B0:219	 B1:311	 B2:229
0.70	 C0:59	 C1:141	 C2:360
0.70	 D0:34	 D1:258	 D2:108
0.72	 A0:740	 A1:770	 A2:115

0.75	 B0:212	 B1:310	 B2:229
0.73	 C0:58	 C1:140	 C2:360
0.73	 D0:35	 D1:258	 D2:108
0.75	 A0:740	 A1:770	 A2:115

0.78	 B0:219	 B1:311	 B2:229
0.76	 C0:58	 C1:140	 C2:360
0.76	 D0:34	 D1:258	 D2:108
0.78	 A0:740	 A1:770	 A2:115

0.81	 B0:223	 B1:310	 B2:229
0.79	 C0:58	 C1:140	 C2:360
0.79	 D0:34	 D1:258	 D2:108
0.81	 A0:740	 A1:770	 A2:114

0.85	 B0:226	 B1:310	 B2:229
0.82	 C0:58	 C1:141	 C2:360
0.82	 D0:35	 D1:258	 D2:108
0.85	 A0:740	 A1:770	 A2:115

0.88	 B0:231	 B1:310	 B2:229
0.85	 C0:58	 C1:141	 C2:360
0.85	 D0:34	 D1:258	 D2:108
0.88	 A0:740	 A1:770	 A2:114

0.91	 B0:239	 B1:310	 B2:229
0.88	 C0:58	 C1:141	 C2:360
0.88	 D0:34	 D1:258	 D2:108
0.91	 A0:740	 A1:770	 A2:115

0.94	 B0:233	 B1:310	 B2:229
0.91	 C0:59	 C1:140	 C2:360
0.91	 D0:34	 D1:258	 D2:108
0.94	 A0:740	 A1:770	 A2:115

0.97	 B0:220	 B1:311	 B2:229
0.94	 C0:58	 C1:140	 C2:360
0.94	 D0:34	 D1:258	 D2:108
0.97	 A0:740	 A1:770	 A2:114

1.00	 B0:211	 B1:310	 B2:229
0.97	 C0:58	 C1:141	 C2:360
0.97	 D0:35	 D1:258	 D2:108
1.00	 A0:740	 A1:770	 A2:115

1.03	 B0:218	 B1:311	 B2:229
1.00	 C0:58	 C1:141	 C2:360
1.00	 D0:34	 D1:258	 D2:108
1.03	 A0:740	 A1:770	 A2:114

1.06	 B0:223	 B1:310	 B2:229
1.03	 C0:58	 C1:140	 C2:360
1.03	 D0:35	 D1:258	 D2:108
1.06	 A0:740	 A1:770	 A2:115

1.10	 B0:226	 B1:311	 B2:229
1.06	 C0:58	 C1:140	 C2:360
1.06	 D0:34	 D1:258	 D2:108
1.10	 A0:740	 A1:770	 A2:115

1.13	 B0:230	 B1:310	 B2:229
