0.00	 B0:132	 B1:263	 B2:106
0.00	 C0:55	 C1:143	 C2:374
0.00	 D0:40	 D1:307	 D2:127
0.00	 A0:39	 A1:324	 A2:89

0.01	 B0:132	 B1:263	 B2:106
0.01	 C0:55	 C1:143	 C2:374
0.01	 D0:39	 D1:307	 D2:127
0.01	 A0:40	 A1:324	 A2:89

0.02	 B0:132	 B1:263	 B2:106
0.02	 C0:56	 C1:143	 C2:374
0.02	 D0:39	 D1:307	 D2:127
0.02	 A0:40	 A1:324	 A2:89

0.03	 B0:132	 B1:264	 B2:106
0.03	 C0:55	 C1:143	 C2:374
0.03	 D0:39	 D1:307	 D2:127
0.03	 A0:40	 A1:324	 A2:89

0.07	 B0:132	 B1:263	 B2:107
0.06	 C0:55	 C1:143	 C2:374
0.06	 D0:39	 D1:307	 D2:127
0.06	 A0:40	 A1:324	 A2:89

0.10	 B0:132	 B1:263	 B2:106
0.09	 C0:55	 C1:143	 C2:374
0.09	 D0:40	 D1:307	 D2:127
0.09	 A0:39	 A1:324	 A2:89

0.13	 B0:132	 B1:263	 B2:106
0.12	 C0:55	 C1:142	 C2:374
0.12	 D0:40	 D1:307	 D2:127
0.12	 A0:39	 A1:324	 A2:89

0.16	 B0:132	 B1:263	 B2:106
0.15	 C0:55	 C1:143	 C2:374
0.15	 D0:39	 D1:307	 D2:127
0.14	 A0:39	 A1:324	 A2:89

0.19	 B0:132	 B1:263	 B2:106
0.18	 C0:55	 C1:142	 C2:373
0.18	 D0:39	 D1:307	 D2:127
0.17	 A0:39	 A1:324	 A2:89

0.22	 B0:132	 B1:263	 B2:106
0.21	 C0:55	 C1:143	 C2:373
0.21	 D0:39	 D1:307	 D2:127
0.20	 A0:39	 A1:324	 A2:89

0.25	 B0:132	 B1:263	 B2:106
0.24	 C0:55	 C1:142	 C2:373
0.24	 D0:39	 D1:307	 D2:127
0.23	 A0:39	 A1:324	 A2:89

0.28	 B0:132	 B1:264	 B2:106
0.27	 C0:55	 C1:142	 C2:373
0.27	 D0:39	 D1:307	 D2:127
0.26	 A0:39	 A1:324	 A2:89

0.32	 B0:132	 B1:263	 B2:106
0.30	 C0:55	 C1:143	 C2:373
0.30	 D0:40	 D1:307	 D2:127
0.29	 A0:39	 A1:324	 A2:89

0.35	 B0:132	 B1:264	 B2:106
0.33	 C0:55	 C1:143	 C2:373
