0.03	 A0:16	 A1:212	 A2:52	 T:25.80
0.03	 B0:49	 B1:164	 B2:51	 T:nan
0.03	 D0:13	 D1:213	 D2:236	 T:nan
0.03	 C0:12	 C1:58	 C2:16	 T:25.10

0.06	 A0:17	 A1:212	 A2:51	 T:25.80
0.05	 B0:49	 B1:164	 B2:52	 T:nan
0.05	 D0:13	 D1:213	 D2:249	 T:nan
0.06	 C0:13	 C1:58	 C2:16	 T:25.10

0.13	 A0:17	 A1:212	 A2:52	 T:25.80
0.12	 B0:49	 B1:164	 B2:52	 T:nan
0.13	 D0:13	 D1:213	 D2:220	 T:nan
0.13	 C0:12	 C1:58	 C2:16	 T:25.10

0.21	 A0:16	 A1:212	 A2:52	 T:25.80
0.19	 B0:49	 B1:164	 B2:51	 T:nan
0.20	 D0:13	 D1:213	 D2:229	 T:nan
0.20	 C0:12	 C1:58	 C2:16	 T:25.10

0.29	 A0:16	 A1:212	 A2:52	 T:25.80
0.27	 B0:49	 B1:164	 B2:52	 T:nan
0.28	 D0:13	 D1:213	 D2:213	 T:nan
0.28	 C0:12	 C1:58	 C2:16	 T:25.10

0.36	 A0:16	 A1:212	 A2:52	 T:25.80
0.34	 B0:49	 B1:164	 B2:52	 T:nan
0.35	 D0:13	 D1:213	 D2:228	 T:nan
0.35	 C0:12	 C1:58	 C2:16	 T:25.10

0.44	 A0:17	 A1:212	 A2:52	 T:25.80
0.41	 B0:49	 B1:164	 B2:52	 T:nan
0.43	 D0:13	 D1:213	 D2:210	 T:nan
0.43	 C0:12	 C1:58	 C2:16	 T:25.10

0.52	 A0:16	 A1:212	 A2:51	 T:25.80
0.49	 B0:49	 B1:164	 B2:52	 T:nan
0.50	 D0:13	 D1:213	 D2:226	 T:nan
0.50	 C0:12	 C1:58	 C2:16	 T:25.10

0.59	 A0:16	 A1:212	 A2:52	 T:25.80
0.56	 B0:49	 B1:164	 B2:52	 T:nan
0.58	 D0:13	 D1:213	 D2:207	 T:nan
0.58	 C0:13	 C1:58	 C2:16	 T:25.10

0.67	 A0:16	 A1:212	 A2:52	 T:25.80
0.63	 B0:49	 B1:164	 B2:52	 T:nan
0.65	 D0:13	 D1:213	 D2:223	 T:nan
0.65	 C0:12	 C1:58	 C2:16	 T:25.10

0.75	 A0:16	 A1:212	 A2:52	 T:25.80
0.70	 B0:50	 B1:164	 B2:52	 T:nan
0.73	 D0:13	 D1:213	 D2:204	 T:nan
0.73	 C0:12	 C1:58	 C2:16	 T:25.10

0.83	 A0:16	 A1:212	 A2:52	 T:25.80
0.78	 B0:49	 B1:164	 B2:52	 T:nan
0.80	 D0:13	 D1:213	 D2:221	 T:nan
0.80	 C0:12	 C1:58	 C2:16	 T:25.10

