0.03	 A0:26	 A1:200	 A2:66	 T:23.80

0.03	 B0:77	 B1:144	 B2:75	 T:23.80

0.03	 D0:12	 D1:193	 D2:64	 T:23.40

0.03	 C0:15	 C1:67	 C2:16	 T:23.80


0.06	 A0:26	 A1:200	 A2:66	 T:23.80

0.06	 B0:77	 B1:144	 B2:75	 T:23.80

0.06	 D0:12	 D1:193	 D2:64	 T:23.40

0.06	 C0:14	 C1:67	 C2:17	 T:23.80


0.13	 A0:26	 A1:200	 A2:66	 T:23.80

0.13	 B0:77	 B1:144	 B2:75	 T:23.80

0.13	 D0:12	 D1:193	 D2:64	 T:23.40

0.13	 C0:14	 C1:67	 C2:16	 T:23.80


0.21	 A0:26	 A1:200	 A2:66	 T:23.80

0.21	 B0:77	 B1:144	 B2:75	 T:23.80

0.21	 D0:12	 D1:193	 D2:64	 T:23.40

0.20	 C0:14	 C1:67	 C2:16	 T:23.80


0.29	 A0:25	 A1:200	 A2:66	 T:23.80

0.29	 B0:77	 B1:144	 B2:75	 T:23.80

0.29	 D0:11	 D1:193	 D2:65	 T:23.40

0.28	 C0:14	 C1:67	 C2:16	 T:23.80


0.36	 A0:26	 A1:200	 A2:66	 T:23.80

0.36	 B0:77	 B1:144	 B2:75	 T:23.80

0.36	 D0:12	 D1:193	 D2:64	 T:23.40

0.35	 C0:14	 C1:67	 C2:17	 T:23.80


0.44	 A0:26	 A1:200	 A2:66	 T:23.80

0.44	 B0:77	 B1:144	 B2:75	 T:23.80

0.44	 D0:12	 D1:193	 D2:64	 T:23.40

0.43	 C0:14	 C1:67	 C2:16	 T:23.80


0.52	 A0:26	 A1:200	 A2:66	 T:23.80

0.52	 B0:78	 B1:144	 B2:75	 T:23.80

0.52	 D0:12	 D1:193	 D2:64	 T:23.40

0.50	 C0:15	 C1:67	 C2:16	 T:23.80


0.59	 A0:26	 A1:200	 A2:66	 T:23.80

0.59	 B0:77	 B1:144	 B2:75	 T:23.80

0.59	 D0:12	 D1:193	 D2:64	 T:23.40

0.58	 C0:15	 C1:67	 C2:17	 T:23.80


0.67	 A0:25	 A1:200	 A2:66	 T:23.80

0.67	 B0:77	 B1:144	 B2:75	 T:23.80

0.67	 D0:12	 D1:193	 D2:65	 T:23.40

0.65	 C0:14	 C1:67	 C2:16	 T:23.80


0.75	 A0:26	 A1:200	 A2:66	 T:23.80

0.75	 B0:77	 B1:144	 B2:75	 T:23.80

0.75	 D0:12	 D1:193	 D2:64	 T:23.40

0.73	 C0:15	 C1:67	 C2:16	 T:23.80


0.83	 A0:26	 A1:200	 A2:66	 T:23.80

0.83	 B0:77	 B1:144	 B2:75	 T:23.80

0.83	 D0:11	 D1:193	 D2:65	 T:23.40

0.80	 C0:15	 C1:67	 C2:17	 T:23.80


0.90	 A0:25	 A1:200	 A2:66	 T:23.80

0.90	 B0:77	 B1:144	 B2:75	 T:23.80

0.90	 D0:11	 D1:193	 D2:65	 T:23.40

0.88	 C0:15	 C1:67	 C2:17	 T:23.80


0.98	 A0:26	 A1:200	 A2:66	 T:23.80

0.98	 B0:77	 B1:144	 B2:75	 T:23.80

0.98	 D0:11	 D1:193	 D2:65	 T:23.40

0.95	 C0:14	 C1:67	 C2:16	 T:23.80


1.06	 A0:25	 A1:200	 A2:66	 T:23.80

1.06	 B0:77	 B1:144	 B2:75	 T:23.80

1.06	 D0:12	 D1:193	 D2:64	 T:23.40

1.03	 C0:15	 C1:67	 C2:16	 T:23.80


1.13	 A0:25	 A1:200	 A2:66	 T:23.80

1.13	 B0:77	 B1:144	 B2:74	 T:23.80

1.13	 D0:12	 D1:193	 D2:65	 T:23.40

1.10	 C0:15	 C1:67	 C2:16	 T:23.80


1.21	 A0:26	 A1:200	 A2:66	 T:23.80

1.21	 B0:77	 B1:144	 B2:75	 T:23.80

1.21	 D0:12	 D1:193	 D2:65	 T:23.40

1.18	 C0:14	 C1:67	 C2:16	 T:23.80


1.29	 A0:26	 A1:200	 A2:66	 T:23.80

1.29	 B0:77	 B1:144	 B2:75	 T:23.80

1.29	 D0:12	 D1:193	 D2:65	 T:23.40

1.25	 C0:14	 C1:67	 C2:16	 T:23.80


1.36	 A0:26	 A1:200	 A2:66	 T:23.80

1.36	 B0:77	 B1:144	 B2:75	 T:23.80

1.36	 D0:12	 D1:193	 D2:64	 T:23.40

1.33	 C0:14	 C1:67	 C2:17	 T:23.80


1.44	 A0:26	 A1:200	 A2:66	 T:23.80

1.44	 B0:77	 B1:144	 B2:74	 T:23.80

1.44	 D0:11	 D1:193	 D2:64	 T:23.40

1.40	 C0:14	 C1:67	 C2:16	 T:23.80


1.52	 A0:25	 A1:200	 A2:66	 T:23.80

1.52	 B0:77	 B1:144	 B2:75	 T:23.80

1.52	 D0:12	 D1:193	 D2:64	 T:23.40

1.48	 C0:14	 C1:67	 C2:16	 T:23.80


1.60	 A0:25	 A1:200	 A2:66	 T:23.80

1.60	 B0:77	 B1:144	 B2:75	 T:23.80

1.60	 D0:12	 D1:193	 D2:64	 T:23.40

1.55	 C0:14	 C1:67	 C2:17	 T:23.80


1.67	 A0:25	 A1:200	 A2:66	 T:23.80

1.67	 B0:77	 B1:144	 B2:75	 T:23.80

1.67	 D0:12	 D1:193	 D2:65	 T:23.40

1.63	 C0:14	 C1:67	 C2:16	 T:23.80


1.75	 A0:25	 A1:200	 A2:66	 T:23.80

1.75	 B0:77	 B1:144	 B2:74	 T:23.80

1.75	 D0:12	 D1:193	 D2:65	 T:23.40

1.70	 C0:14	 C1:67	 C2:16	 T:23.80


1.83	 A0:26	 A1:200	 A2:66	 T:23.80

1.83	 B0:77	 B1:144	 B2:74	 T:23.80

1.83	 D0:12	 D1:193	 D2:64	 T:23.40

1.77	 C0:14	 C1:67	 C2:17	 T:23.80


1.90	 A0:25	 A1:200	 A2:66	 T:23.80

1.90	 B0:77	 B1:144	 B2:75	 T:23.80

1.90	 D0:12	 D1:193	 D2:65	 T:23.40

1.85	 C0:14	 C1:67	 C2:16	 T:23.80


1.98	 A0:26	 A1:200	 A2:66	 T:23.80

1.98	 B0:77	 B1:144	 B2:74	 T:23.80

1.98	 D0:12	 D1:193	 D2:64	 T:23.40

1.92	 C0:14	 C1:67	 C2:16	 T:23.80


2.06	 A0:26	 A1:200	 A2:66	 T:23.80

2.06	 B0:77	 B1:144	 B2:75	 T:23.80

2.06	 D0:11	 D1:193	 D2:64	 T:23.40

2.00	 C0:14	 C1:67	 C2:16	 T:23.80


2.13	 A0:25	 A1:200	 A2:66	 T:23.80

2.13	 B0:77	 B1:144	 B2:74	 T:23.80

2.13	 D0:12	 D1:193	 D2:65	 T:23.40

2.08	 C0:14	 C1:67	 C2:16	 T:23.80


2.21	 A0:25	 A1:200	 A2:66	 T:23.80

