0.00	 A0:704	 A1:735	 A2:115


0.01	 A0:700	 A1:733	 A2:116


0.02	 A0:695	 A1:728	 A2:116


0.03	 A0:692	 A1:726	 A2:115


0.07	 A0:702	 A1:735	 A2:117


0.10	 A0:704	 A1:724	 A2:116


0.13	 A0:697	 A1:732	 A2:114


0.16	 A0:704	 A1:735	 A2:116


0.19	 A0:695	 A1:725	 A2:115


0.22	 A0:701	 A1:734	 A2:116


0.25	 A0:704	 A1:733	 A2:116


0.28	 A0:695	 A1:730	 A2:114


0.32	 A0:703	 A1:735	 A2:117


0.35	 A0:702	 A1:734	 A2:116


0.38	 A0:699	 A1:733	 A2:104


0.41	 A0:704	 A1:735	 A2:116


0.44	 A0:706	 A1:727	 A2:115


0.47	 A0:702	 A1:735	 A2:117


0.50	 A0:704	 A1:732	 A2:116


0.53	 A0:695	 A1:731	 A2:114


0.57	 A0:703	 A1:735	 A2:117


0.60	 A0:703	 A1:739	 A2:116


0.63	 A0:698	 A1:733	 A2:127


0.66	 A0:704	 A1:735	 A2:116


0.69	 A0:711	 A1:727	 A2:115


0.72	 A0:702	 A1:735	 A2:117


0.75	 A0:704	 A1:732	 A2:116


0.78	 A0:696	 A1:731	 A2:114


0.81	 A0:704	 A1:735	 A2:117


0.85	 A0:702	 A1:729	 A2:116


0.88	 A0:700	 A1:733	 A2:104


0.91	 A0:704	 A1:734	 A2:116


0.94	 A0:702	 A1:728	 A2:115


0.97	 A0:702	 A1:735	 A2:117


1.00	 A0:703	 A1:727	 A2:116


1.03	 A0:697	 A1:732	 A2:114


1.06	 A0:704	 A1:735	 A2:117


1.10	 A0:700	 A1:727	 A2:116


1.13	 A0:700	 A1:733	 A2:104


1.16	 A0:704	 A1:735	 A2:116


1.19	 A0:709	 A1:726	 A2:115


1.22	 A0:701	 A1:734	 A2:114


1.25	 A0:704	 A1:734	 A2:116


1.28	 A0:700	 A1:728	 A2:115


1.31	 A0:702	 A1:735	 A2:117


1.35	 A0:704	 A1:733	 A2:116


1.38	 A0:696	 A1:729	 A2:115


1.41	 A0:703	 A1:735	 A2:117


1.44	 A0:703	 A1:729	 A2:116


1.47	 A0:696	 A1:730	 A2:114


1.50	 A0:703	 A1:735	 A2:117


1.53	 A0:703	 A1:734	 A2:116


1.56	 A0:697	 A1:732	 A2:114


1.60	 A0:704	 A1:735	 A2:117


1.63	 A0:702	 A1:734	 A2:116


1.66	 A0:698	 A1:733	 A2:126


1.69	 A0:704	 A1:735	 A2:116


1.72	 A0:694	 A1:727	 A2:116


1.75	 A0:700	 A1:734	 A2:108


1.78	 A0:704	 A1:734	 A2:116


1.81	 A0:703	 A1:727	 A2:115


1.85	 A0:702	 A1:734	 A2:117


1.88	 A0:704	 A1:733	 A2:116


1.91	 A0:695	 A1:730	 A2:114


1.94	 A0:703	 A1:735	 A2:117


1.97	 A0:703	 A1:735	 A2:116


2.00	 A0:697	 A1:732	 A2:114


