,time_A,A0,A1,A2,time_B,B0,B1,B2,time_C,C0,C1,C2,time_C,C0,C1,C2
0,0.00,44,356,102,0.00,161,324,115,0.00,58,141,360,0.00,58,141,360
1,0.01,44,356,102,0.01,161,323,115,0.01,58,141,360,0.01,58,141,360
2,0.02,44,356,102,0.02,161,323,115,0.02,59,141,360,0.02,59,141,360
3,0.03,44,356,102,0.03,161,324,115,0.03,59,140,360,0.03,59,140,360
4,0.06,44,356,102,0.07,161,324,115,0.06,58,140,360,0.06,58,140,360
5,0.09,44,356,102,0.10,161,323,115,0.09,58,141,360,0.09,58,141,360
6,0.12,44,356,102,0.13,161,324,114,0.12,58,140,360,0.12,58,140,360
7,0.15,44,356,102,0.16,161,323,115,0.15,58,140,360,0.15,58,140,360
8,0.18,44,356,102,0.19,161,324,115,0.18,58,140,360,0.18,58,140,360
9,0.21,44,356,102,0.22,161,324,114,0.21,58,141,360,0.21,58,141,360
10,0.24,44,356,102,0.25,161,324,115,0.24,58,140,360,0.24,58,140,360
11,0.27,44,356,102,0.28,161,324,115,0.27,58,140,360,0.27,58,140,360
12,0.30,44,356,102,0.32,161,324,115,0.30,58,141,361,0.30,58,141,361
13,0.33,44,356,102,0.35,161,324,115,0.33,58,141,360,0.33,58,141,360
14,0.36,44,356,102,0.38,161,324,114,0.36,58,140,360,0.36,58,140,360
15,0.39,44,356,102,0.41,161,324,115,0.39,58,141,360,0.39,58,141,360
16,0.42,44,356,102,0.44,161,324,115,0.42,58,140,360,0.42,58,140,360
17,0.45,44,356,102,0.47,161,324,115,0.45,59,140,360,0.45,59,140,360
18,0.49,44,356,102,0.50,161,324,114,0.49,58,141,360,0.49,58,141,360
19,0.51,44,356,102,0.53,161,324,115,0.51,58,140,360,0.51,58,140,360
20,0.54,44,356,102,0.57,161,324,115,0.54,58,141,360,0.54,58,141,360
21,0.57,44,356,102,0.60,160,324,115,0.57,58,141,360,0.57,58,141,360
22,0.61,44,356,102,0.63,160,324,115,0.61,58,141,360,0.61,58,141,360
23,0.63,44,356,102,0.66,161,324,115,0.63,58,140,360,0.63,58,140,360
24,0.67,44,356,102,0.69,160,324,114,0.67,58,140,360,0.67,58,140,360
25,0.70,44,356,102,0.72,161,324,114,0.70,59,141,360,0.70,59,141,360
26,0.73,44,356,102,0.75,161,324,114,0.73,58,140,360,0.73,58,140,360
27,0.76,44,356,102,0.78,161,324,115,0.76,58,140,360,0.76,58,140,360
28,0.79,44,356,102,0.81,160,324,114,0.79,58,140,360,0.79,58,140,360
29,0.82,44,356,102,0.85,160,324,115,0.82,58,141,360,0.82,58,141,360
30,0.85,44,356,102,0.88,160,324,114,0.85,58,141,360,0.85,58,141,360
31,0.88,44,356,102,0.91,160,324,115,0.88,58,141,360,0.88,58,141,360
32,0.91,44,356,102,0.94,161,324,115,0.91,59,140,360,0.91,59,140,360
33,0.94,44,356,102,0.97,160,324,114,0.94,58,140,360,0.94,58,140,360
34,0.97,44,356,102,1.00,160,324,114,0.97,58,141,360,0.97,58,141,360
35,1.00,44,356,102,1.03,160,324,114,1.00,58,141,360,1.00,58,141,360
36,1.03,44,356,102,1.06,160,324,114,1.03,58,140,360,1.03,58,140,360
37,1.06,44,356,102,1.10,161,323,115,1.06,58,140,360,1.06,58,140,360
38,1.09,44,356,102,1.13,160,323,114,1.09,58,140,360,1.09,58,140,360
39,1.12,44,356,102,1.16,161,324,114,1.12,58,141,360,1.12,58,141,360
40,1.15,44,356,102,1.19,161,324,115,1.15,58,140,360,1.15,58,140,360
41,1.18,44,356,102,1.22,160,324,114,1.18,58,140,360,1.18,58,140,360
42,1.21,44,356,102,1.25,160,324,115,1.21,58,141,360,1.21,58,141,360
43,1.24,44,356,102,1.28,160,324,115,1.24,58,140,360,1.24,58,140,360
44,1.27,44,356,102,1.31,161,324,114,1.27,58,140,360,1.27,58,140,360
45,1.30,44,356,102,1.35,161,324,115,1.30,58,140,360,1.30,58,140,360
46,1.33,44,356,102,1.38,160,323,115,1.33,59,140,360,1.33,59,140,360
47,1.36,44,356,102,1.41,161,323,114,1.36,58,140,360,1.36,58,140,360
48,1.39,44,356,102,1.44,160,324,114,1.39,59,141,360,1.39,59,141,360
49,1.42,44,356,102,1.47,160,323,114,1.42,58,140,360,1.42,58,140,360
50,1.45,44,356,102,1.50,160,324,114,1.45,58,140,360,1.45,58,140,360
51,1.48,44,356,102,1.53,161,324,114,1.48,58,140,360,1.48,58,140,360
52,1.51,44,356,102,1.56,161,323,115,1.51,58,141,360,1.51,58,141,360
53,1.54,44,356,102,1.60,160,324,114,1.54,58,140,360,1.54,58,140,360
54,1.57,44,356,102,1.63,160,324,114,1.57,58,140,360,1.57,58,140,360
55,1.60,44,356,102,1.66,160,323,114,1.60,58,141,360,1.60,58,141,360
56,1.63,44,356,102,1.69,160,324,114,1.63,58,140,360,1.63,58,140,360
57,1.66,44,356,102,1.72,160,323,114,1.66,58,140,360,1.66,58,140,360
58,1.69,44,356,102,1.75,161,323,114,1.69,58,141,360,1.69,58,141,360
59,1.72,44,356,102,1.78,160,324,115,1.72,58,141,360,1.72,58,141,360
60,1.75,44,356,102,1.81,160,324,115,1.75,58,141,360,1.75,58,141,360
61,1.78,44,356,102,1.85,160,323,114,1.78,59,141,360,1.78,59,141,360
62,1.81,44,356,102,1.88,160,324,114,1.81,58,141,360,1.81,58,141,360
63,1.84,44,356,102,1.91,160,324,115,1.84,58,141,360,1.84,58,141,360
64,1.87,44,356,102,1.94,160,323,114,1.87,58,140,360,1.87,58,140,360
65,1.90,44,356,102,1.97,160,324,114,1.90,58,141,360,1.90,58,141,360
66,1.93,44,356,102,2.00,160,324,115,1.93,58,141,360,1.93,58,141,360
67,1.96,44,356,102,2.03,160,324,115,1.96,58,141,360,1.96,58,141,360
68,1.99,44,356,102,2.06,160,323,114,1.99,58,141,360,1.99,58,141,360
69,2.02,44,356,102,2.10,160,323,115,2.02,58,140,360,2.02,58,140,360
70,2.05,44,356,102,2.13,160,323,115,2.05,58,141,360,2.05,58,141,360
71,2.08,44,356,102,2.16,160,323,115,2.08,58,140,360,2.08,58,140,360
72,2.11,44,356,102,2.19,160,324,115,2.11,59,141,360,2.11,59,141,360
73,2.14,44,356,102,2.22,161,324,114,2.14,58,140,360,2.14,58,140,360
74,2.17,44,356,102,2.25,160,323,115,2.17,58,141,360,2.17,58,141,360
75,2.20,44,356,102,2.28,160,324,114,2.20,58,140,360,2.20,58,140,360
76,2.23,44,356,102,2.31,160,324,114,2.23,59,141,360,2.23,59,141,360
77,2.26,44,356,102,2.34,160,323,115,2.26,58,140,360,2.26,58,140,360
