,time_A,A0,A1,A2,time_B,B0,B1,B2,time_C,C0,C1,C2,time_D,D0,D1,D2
0,0.00,50,379,110,0.00,143,289,105,0.00,55,143,374,0.00,35,258,108
1,0.01,50,380,110,0.01,143,289,105,0.01,55,143,374,0.01,34,258,108
2,0.02,50,380,110,0.02,143,289,105,0.02,56,143,374,0.02,35,258,108
3,0.03,50,380,110,0.03,143,289,105,0.03,55,143,374,0.03,34,258,108
4,0.06,50,380,110,0.07,143,289,105,0.06,55,143,374,0.06,34,258,108
5,0.09,50,380,110,0.10,143,289,105,0.09,55,143,374,0.09,34,257,108
6,0.12,50,380,110,0.13,143,289,105,0.12,55,142,374,0.12,34,258,108
7,0.15,50,380,110,0.16,143,289,105,0.15,55,143,374,0.15,34,258,108
8,0.18,50,380,110,0.19,143,289,105,0.18,55,142,373,0.18,34,258,108
9,0.21,50,380,110,0.22,143,289,105,0.21,55,143,373,0.21,34,258,108
10,0.24,50,380,110,0.25,143,289,105,0.24,55,142,373,0.24,34,258,108
11,0.27,50,380,110,0.28,143,289,105,0.27,55,142,373,0.27,34,258,108
12,0.30,50,380,110,0.32,143,289,105,0.30,55,143,373,0.30,34,258,108
13,0.33,50,380,110,0.35,143,289,105,0.33,55,143,373,0.33,34,258,108
14,0.36,50,380,110,0.38,143,289,105,0.36,55,142,373,0.36,34,258,108
15,0.39,51,380,110,0.41,143,289,105,0.39,55,142,373,0.39,34,258,108
16,0.42,50,380,110,0.44,143,289,105,0.42,55,143,373,0.42,34,258,108
17,0.45,50,380,110,0.47,143,289,105,0.45,55,143,373,0.45,34,258,108
18,0.49,50,380,110,0.50,143,289,105,0.49,55,143,373,0.49,35,258,108
19,0.51,50,380,110,0.53,143,289,105,0.51,55,143,373,0.51,34,258,108
20,0.54,50,380,110,0.57,143,289,105,0.54,55,143,373,0.54,34,258,108
21,0.57,50,380,110,0.60,143,289,105,0.57,55,142,373,0.57,34,258,108
22,0.61,50,380,110,0.63,143,289,105,0.61,55,143,373,0.61,34,258,108
23,0.63,50,380,110,0.66,143,289,105,0.63,55,143,373,0.63,34,258,108
24,0.67,50,380,110,0.69,143,289,105,0.67,55,143,373,0.67,34,258,108
25,0.70,50,380,110,0.72,143,289,105,0.70,55,143,374,0.70,34,258,108
26,0.73,50,380,110,0.75,143,289,105,0.73,56,142,373,0.73,35,258,108
27,0.76,50,380,110,0.78,143,289,105,0.76,55,143,373,0.76,34,258,108
28,0.79,50,380,110,0.81,143,289,105,0.79,55,143,373,0.79,34,258,108
29,0.82,51,380,110,0.85,143,289,105,0.82,55,142,373,0.82,35,258,108
30,0.85,50,380,110,0.88,143,289,105,0.85,55,143,373,0.85,34,258,108
31,0.88,50,380,110,0.91,143,289,105,0.88,55,143,373,0.88,34,258,108
32,0.91,51,380,110,0.94,143,289,105,0.91,55,143,373,0.91,34,258,108
33,0.94,50,380,110,0.97,143,289,105,0.94,55,142,373,0.94,34,258,108
34,0.97,50,380,110,1.00,143,289,105,0.97,55,142,373,0.97,35,258,108
35,1.00,50,380,110,1.03,143,289,105,1.00,55,142,373,1.00,34,258,108
36,1.03,50,380,110,1.06,143,289,105,1.03,55,143,373,1.03,35,258,108
37,1.06,50,380,110,1.10,143,289,105,1.06,55,142,373,1.06,34,258,108
38,1.09,50,380,110,1.13,143,289,105,1.09,55,143,373,1.09,34,258,108
39,1.12,50,380,110,1.16,143,289,105,1.12,55,143,373,1.12,34,258,108
40,1.15,50,380,110,1.19,143,289,105,1.15,55,142,373,1.15,34,258,108
41,1.18,50,380,110,1.22,143,289,105,1.18,55,142,373,1.18,34,258,108
42,1.21,50,380,110,1.25,143,289,105,1.21,55,143,373,1.21,35,258,108
43,1.24,50,380,110,1.28,143,289,105,1.24,55,143,373,1.24,35,258,108
44,1.27,50,380,110,1.31,143,289,105,1.27,55,142,373,1.27,34,258,108
45,1.30,50,380,110,1.35,143,289,105,1.30,55,143,373,1.30,34,258,108
46,1.33,50,380,110,1.38,143,289,105,1.33,55,142,373,1.33,35,258,108
47,1.36,50,380,110,1.41,143,289,105,1.36,55,142,373,1.36,34,258,108
48,1.39,50,380,110,1.44,143,289,105,1.39,55,142,373,1.39,34,258,108
49,1.42,50,380,110,1.47,143,289,105,1.42,55,143,373,1.42,34,258,108
50,1.45,50,380,110,1.50,143,289,105,1.45,55,143,373,1.45,34,258,108
51,1.48,51,380,110,1.53,143,289,105,1.48,55,143,373,1.48,34,258,108
52,1.51,50,380,110,1.56,143,289,105,1.51,55,142,373,1.51,34,258,108
53,1.54,50,380,110,1.60,143,289,105,1.54,55,142,373,1.54,34,258,108
54,1.57,50,380,110,1.63,143,289,105,1.57,55,143,373,1.57,34,258,108
55,1.60,50,380,110,1.66,143,289,105,1.60,55,143,373,1.60,34,258,108
56,1.63,50,380,110,1.69,143,289,105,1.63,55,142,373,1.63,34,258,108
57,1.66,50,380,110,1.72,143,289,105,1.66,55,143,373,1.66,34,258,108
58,1.69,50,380,110,1.75,143,289,105,1.69,55,143,373,1.69,34,258,108
59,1.72,50,380,110,1.78,143,289,105,1.72,55,142,373,1.72,34,258,108
60,1.75,50,380,110,1.81,143,289,105,1.75,55,142,373,1.75,34,258,108
61,1.78,50,380,110,1.85,143,289,105,1.78,55,142,373,1.78,34,258,108
62,1.81,50,380,110,1.88,143,289,105,1.81,55,142,373,1.81,34,258,108
63,1.84,50,380,110,1.91,143,289,105,1.84,55,142,373,1.84,34,258,108
64,1.87,50,380,110,1.94,142,289,105,1.87,55,142,373,1.87,34,258,108
65,1.90,50,380,110,1.97,142,289,105,1.90,55,143,373,1.90,34,258,108
66,1.93,50,380,110,2.00,143,289,105,1.93,55,142,373,1.93,34,258,108
67,1.96,50,380,110,2.03,143,289,105,1.96,55,142,373,1.96,34,258,108
68,1.99,50,380,110,2.06,143,289,105,1.99,55,142,373,1.99,34,258,108
69,2.02,50,380,110,2.10,143,289,105,2.02,55,143,373,2.02,35,258,108
70,2.05,50,380,110,2.13,143,289,105,2.05,55,142,373,2.05,35,258,108
71,2.08,50,380,110,2.16,143,289,105,2.08,55,142,373,2.08,34,258,108
72,2.11,50,380,110,2.19,143,289,105,2.11,55,142,373,2.11,34,258,108
73,2.14,50,380,110,2.22,143,289,105,2.14,55,142,373,2.14,34,258,108
74,2.17,50,380,110,2.25,143,289,105,2.17,55,143,373,2.17,34,258,108
75,2.20,50,380,110,2.28,143,289,105,2.20,55,142,373,2.20,34,258,108
76,2.23,50,380,110,2.31,143,289,105,2.23,55,142,373,2.23,34,258,108
77,2.26,50,380,110,2.34,143,289,105,2.26,55,142,373,2.26,34,258,108
78,2.29,50,380,110,2.38,143,289,105,2.29,55,143,373,2.29,34,258,108
79,2.32,50,380,110,2.41,143,289,105,2.32,55,142,373,2.32,34,258,108
80,2.36,50,380,110,2.44,143,289,105,2.36,55,142,373,2.36,34,258,108
81,2.38,50,380,110,2.47,143,289,105,2.38,55,142,373,2.38,35,258,108
82,2.42,50,380,110,2.50,143,289,105,2.42,55,142,373,2.42,34,258,108
83,2.45,50,380,110,2.53,143,289,105,2.45,55,143,373,2.45,34,258,108
84,2.48,50,380,110,2.56,143,289,105,2.48,55,142,373,2.48,34,258,108
85,2.51,50,380,110,2.59,143,289,105,2.51,55,142,373,2.51,34,258,108
86,2.54,50,380,110,2.63,143,289,105,2.54,55,142,373,2.54,34,258,108
87,2.57,50,380,110,2.66,143,289,105,2.57,55,142,373,2.57,34,258,108
88,2.60,50,380,110,2.69,143,289,105,2.60,55,142,373,2.60,35,258,108
89,2.63,50,380,110,2.72,143,289,105,2.63,55,142,373,2.63,34,258,108
90,2.66,50,380,110,2.75,143,289,105,2.66,55,142,373,2.66,34,258,108
91,2.69,50,380,110,2.78,143,289,105,2.69,55,142,373,2.69,34,258,108
92,2.72,50,380,110,2.81,143,289,105,2.72,55,143,373,2.72,34,258,108
93,2.75,50,380,110,2.84,143,289,105,2.75,55,142,373,2.75,34,258,108
94,2.78,50,380,110,2.87,143,289,105,2.78,55,142,373,2.78,34,258,108
95,2.81,50,380,110,2.91,143,289,105,2.81,55,142,373,2.81,34,258,108
96,2.84,50,380,110,2.94,143,289,105,2.84,55,142,373,2.84,34,258,108
97,2.87,50,380,110,2.97,143,289,105,2.87,55,142,373,2.87,34,258,108
98,2.90,50,380,110,3.00,143,289,105,2.90,55,142,373,2.90,34,258,108
99,2.93,50,380,110,3.03,143,289,105,2.93,55,142,373,2.93,35,258,108
100,2.96,50,380,110,3.06,143,289,105,2.96,55,142,373,2.96,34,258,108
101,2.99,50,380,110,3.09,143,289,105,2.99,55,142,373,2.99,34,258,108
102,3.02,50,380,110,3.12,143,289,105,3.02,55,143,373,3.02,34,258,108
103,3.05,50,380,110,3.16,143,289,105,3.05,55,142,373,3.05,34,258,108
104,3.08,50,380,110,3.19,143,289,105,3.08,55,142,373,3.08,34,258,108
105,3.11,50,380,110,3.22,143,289,105,3.11,55,143,373,3.11,34,258,108
106,3.14,50,380,110,3.25,143,289,105,3.14,55,142,373,3.14,34,258,108
107,3.17,50,380,110,3.28,143,289,105,3.17,55,142,373,3.17,35,258,108
108,3.20,50,380,109,3.31,143,289,105,3.20,55,143,373,3.20,34,258,108
109,3.23,50,380,110,3.34,143,289,105,3.23,55,143,373,3.23,34,258,108
